Sample 1 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity 1	Sample 1 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity 1	Sample 2 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity 1	Sample 2 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity 1	Sample 3 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity 1	Sample 3 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity 1	Sample 4 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity 1	Sample 4 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity 1	
3,781250E+2	5,182100E-1	3,781250E+2	-2,115758E-1	3,781250E+2	5,408881E-1	3,781250E+2	-1,271373E+0	3,781250E+2	-8,246791E-2	3,781250E+2	-6,158957E-1	3,781250E+2	2,539178E-1	3,781250E+2	-1,459327E-1
3,796875E+2	5,456042E-1	3,796875E+2	-2,183571E-1	3,796875E+2	5,590929E-1	3,796875E+2	-1,314762E+0	3,796875E+2	-7,748607E-2	3,796875E+2	-6,106112E-1	3,796875E+2	1,386368E-1	3,796875E+2	-3,171993E-1
3,812500E+2	5,737683E-1	3,812500E+2	-2,233294E-1	3,812500E+2	5,783830E-1	3,812500E+2	-1,359566E+0	3,812500E+2	-7,255894E-2	3,812500E+2	-6,061309E-1	3,812500E+2	-1,158643E+0	3,812500E+2	1,585817E-1
3,828125E+2	5,947842E-1	3,828125E+2	-2,159189E-1	3,828125E+2	6,050417E-1	3,828125E+2	-1,395009E+0	3,828125E+2	-6,838925E-2	3,828125E+2	-6,042606E-1	3,828125E+2	-1,176019E+0	3,828125E+2	1,904771E-1
3,843750E+2	6,135606E-1	3,843750E+2	-2,060026E-1	3,843750E+2	6,330350E-1	3,843750E+2	-1,430866E+0	3,843750E+2	-6,432115E-2	3,843750E+2	-6,029874E-1	3,843750E+2	-1,192077E+0	3,843750E+2	2,229153E-1
3,859375E+2	6,416737E-1	3,859375E+2	-1,836209E-1	3,859375E+2	6,561512E-1	3,859375E+2	-1,461463E+0	3,859375E+2	-6,324963E-2	3,859375E+2	-6,056884E-1	3,859375E+2	-5,747676E-2	3,859375E+2	-4,775192E-1
3,875000E+2	6,646488E-1	3,875000E+2	-1,563680E-1	3,875000E+2	6,801238E-1	3,875000E+2	-1,492402E+0	3,875000E+2	-6,213768E-2	3,875000E+2	-6,087813E-1	3,875000E+2	2,342806E-1	3,875000E+2	-1,106868E-1
3,890625E+2	5,648048E-1	3,890625E+2	-5,827920E-1	3,890625E+2	6,865284E-1	3,890625E+2	-1,521570E+0	3,890625E+2	-6,462316E-2	3,890625E+2	-6,238387E-1	3,890625E+2	2,666187E-1	3,890625E+2	-4,411678E-2
3,906250E+2	2,678056E-1	3,906250E+2	-6,501958E-1	3,906250E+2	6,932033E-1	3,906250E+2	-1,551448E+0	3,906250E+2	-6,692440E-2	3,906250E+2	-6,391321E-1	3,906250E+2	2,843677E-1	3,906250E+2	1,235669E-2
3,921875E+2	1,160494E-1	3,921875E+2	-3,276007E-1	3,921875E+2	6,987843E-1	3,921875E+2	-1,562294E+0	3,921875E+2	-7,628943E-2	3,921875E+2	-6,588684E-1	3,921875E+2	2,985886E-1	3,921875E+2	3,629803E-2
3,937500E+2	9,260226E-2	3,937500E+2	-2,136328E-1	3,937500E+2	7,045223E-1	3,937500E+2	-1,573850E+0	3,937500E+2	-8,566978E-2	3,937500E+2	-6,789802E-1	3,937500E+2	3,092957E-1	3,937500E+2	5,834987E-2
3,953125E+2	9,703118E-2	3,953125E+2	-2,224627E-1	3,953125E+2	6,898889E-1	3,953125E+2	-1,576430E+0	3,953125E+2	-1,053613E-1	3,953125E+2	-7,072719E-1	3,953125E+2	3,226216E-1	3,953125E+2	7,694712E-2
3,968750E+2	1,016518E-1	3,968750E+2	-2,310214E-1	3,968750E+2	6,761877E-1	3,968750E+2	-1,580038E+0	3,968750E+2	-1,258489E-1	3,968750E+2	-7,361514E-1	3,968750E+2	3,329940E-1	3,968750E+2	9,463925E-2
3,984375E+2	1,052915E-1	3,984375E+2	-2,388839E-1	3,984375E+2	8,937359E-2	3,984375E+2	-5,155197E-1	3,984375E+2	9,594011E-2	3,984375E+2	-2,599809E-1	3,984375E+2	3,421672E-1	3,984375E+2	1,099489E-1
4,000000E+2	1,090309E-1	4,000000E+2	-2,465483E-1	4,000000E+2	7,960222E-2	4,000000E+2	-3,358064E-1	4,000000E+2	1,328683E-1	4,000000E+2	-8,235708E-2	4,000000E+2	3,491284E-1	4,000000E+2	1,248498E-1
4,015625E+2	1,248315E-1	4,015625E+2	-3,193951E-1	4,015625E+2	8,210219E-2	4,015625E+2	-3,434907E-1	4,015625E+2	1,562364E-1	4,015625E+2	2,209934E-2	4,015625E+2	3,430057E-1	4,015625E+2	1,158872E-1
4,031250E+2	2,451014E-1	4,031250E+2	-5,124850E-1	4,031250E+2	8,462808E-2	4,031250E+2	-3,512636E-1	4,031250E+2	1,634963E-1	4,031250E+2	8,837966E-2	4,031250E+2	3,364173E-1	4,031250E+2	1,057842E-1
4,046875E+2	2,555093E-1	4,046875E+2	-5,567806E-1	4,046875E+2	8,690550E-2	4,046875E+2	-3,577619E-1	4,046875E+2	1,661421E-1	4,046875E+2	9,760600E-2	4,046875E+2	3,651196E-1	4,046875E+2	1,245218E-1
4,062500E+2	2,670419E-1	4,062500E+2	-6,034412E-1	4,062500E+2	8,918381E-2	4,062500E+2	-3,643725E-1	4,062500E+2	1,680959E-1	4,062500E+2	1,052844E-1	4,062500E+2	3,907509E-1	4,062500E+2	1,472120E-1
4,078125E+2	2,782429E-1	4,078125E+2	-6,504582E-1	4,078125E+2	8,255917E-2	4,078125E+2	-4,076152E-1	4,078125E+2	1,688328E-1	4,078125E+2	1,081583E-1	4,078125E+2	4,021950E-1	4,078125E+2	1,407108E-1
4,093750E+2	2,908518E-1	4,093750E+2	-6,998575E-1	4,093750E+2	7,313564E-2	4,093750E+2	-4,803327E-1	4,093750E+2	1,693314E-1	4,093750E+2	1,101884E-1	4,093750E+2	4,141228E-1	4,093750E+2	1,343862E-1
4,109375E+2	3,041279E-1	4,109375E+2	-7,516369E-1	4,109375E+2	7,385098E-2	4,109375E+2	-5,020132E-1	4,109375E+2	1,628028E-1	4,109375E+2	5,627581E-2	4,109375E+2	4,317014E-1	4,109375E+2	1,317395E-1
4,125000E+2	3,190931E-1	4,125000E+2	-8,062006E-1	4,125000E+2	7,468290E-2	4,125000E+2	-5,241720E-1	4,125000E+2	1,486658E-1	4,125000E+2	-4,925354E-2	4,125000E+2	4,494738E-1	4,125000E+2	1,303957E-1
4,140625E+2	3,488164E-1	4,140625E+2	-8,694448E-1	4,140625E+2	7,471340E-2	4,140625E+2	-5,450228E-1	4,140625E+2	1,426932E-1	4,140625E+2	-7,572714E-2	4,140625E+2	6,337289E-1	4,140625E+2	3,681059E-1
4,156250E+2	3,835334E-1	4,156250E+2	-9,363136E-1	4,156250E+2	7,482251E-2	4,156250E+2	-5,663589E-1	4,156250E+2	1,367177E-1	4,156250E+2	-1,039368E-1	4,156250E+2	6,430337E-1	4,156250E+2	6,917658E-1
4,171875E+2	4,868419E-1	4,171875E+2	-1,021083E+0	4,171875E+2	7,594878E-2	4,171875E+2	-5,868211E-1	4,171875E+2	1,296220E-1	4,171875E+2	-1,171941E-1	4,171875E+2	6,842964E-1	4,171875E+2	6,623777E-1
4,187500E+2	6,178642E-1	4,187500E+2	-1,098921E+0	4,187500E+2	7,717887E-2	4,187500E+2	-6,077558E-1	4,187500E+2	1,227951E-1	4,187500E+2	-1,310513E-1	4,187500E+2	7,308432E-1	4,187500E+2	6,301088E-1
4,203125E+2	6,669004E-1	4,203125E+2	-1,163061E+0	4,203125E+2	7,878760E-2	4,203125E+2	-6,284249E-1	4,203125E+2	1,293174E-1	4,203125E+2	-1,336319E-1	4,203125E+2	7,670008E-1	4,203125E+2	5,757104E-1
4,218750E+2	7,205722E-1	4,218750E+2	-1,229994E+0	4,218750E+2	8,050999E-2	4,218750E+2	-6,495857E-1	4,218750E+2	1,354001E-1	4,218750E+2	-1,363477E-1	4,218750E+2	8,040834E-1	4,218750E+2	5,151189E-1
4,234375E+2	4,423332E-1	4,234375E+2	-1,020629E+0	4,234375E+2	9,160206E-2	4,234375E+2	-6,727300E-1	4,234375E+2	1,467458E-1	4,234375E+2	-1,340799E-1	4,234375E+2	8,419915E-1	4,234375E+2	4,336093E-1
4,250000E+2	3,105568E-1	4,250000E+2	-8,530638E-1	4,250000E+2	1,034057E-1	4,250000E+2	-6,962153E-1	4,250000E+2	1,568432E-1	4,250000E+2	-1,317648E-1	4,250000E+2	8,785028E-1	4,250000E+2	3,402649E-1
4,265625E+2	1,524412E-1	4,265625E+2	-4,689457E-1	4,265625E+2	1,106991E-1	4,265625E+2	-7,153831E-1	4,265625E+2	1,646499E-1	4,265625E+2	-1,139839E-1	4,265625E+2	2,844361E-1	4,265625E+2	1,622304E-1
4,281250E+2	1,182106E-1	4,281250E+2	-3,027237E-1	4,281250E+2	1,182555E-1	4,281250E+2	-7,349034E-1	4,281250E+2	1,697106E-1	4,281250E+2	-9,838812E-2	4,281250E+2	-2,743581E-2	4,281250E+2	2,533178E-2
4,296875E+2	1,201514E-1	4,296875E+2	-2,883388E-1	4,296875E+2	1,167795E-1	4,296875E+2	-7,518478E-1	4,296875E+2	1,757736E-1	4,296875E+2	-7,073255E-2	4,296875E+2	-1,349917E-2	4,296875E+2	1,408370E-2
4,312500E+2	1,217885E-1	4,312500E+2	-2,759422E-1	4,312500E+2	1,152916E-1	4,312500E+2	-7,691688E-1	4,312500E+2	1,780420E-1	4,312500E+2	-4,746251E-2	4,312500E+2	7,416547E-4	4,312500E+2	3,407242E-3
4,328125E+2	1,325604E-1	4,328125E+2	-3,195101E-1	4,328125E+2	2,368880E-1	4,328125E+2	-1,103298E+0	4,328125E+2	1,833791E-1	4,328125E+2	-3,549737E-2	4,328125E+2	1,247649E-1	4,328125E+2	1,858989E-2
4,343750E+2	1,499590E-1	4,343750E+2	-3,722099E-1	4,343750E+2	1,002380E+0	4,343750E+2	-1,841754E+0	4,343750E+2	1,866028E-1	4,343750E+2	-2,507765E-2	4,343750E+2	3,596571E-1	4,343750E+2	4,494595E-2
