Sample 1_Frequency [Hz]	Normal Sound Transmission Loss [dB]	Sample 2_Frequency [Hz]	Normal Sound Transmission Loss [dB]	Sample 3_Frequency [Hz]	Normal Sound Transmission Loss [dB]	Sample 4_Frequency [Hz]	Normal Sound Transmission Loss [dB]	
4,265625E+2	4,077434E-1	4,265625E+2	-9,819408E-1	4,265625E+2	2,335428E+0	4,265625E+2	3,531243E+0
4,281250E+2	1,991598E+0	4,281250E+2	-1,032956E+0	4,281250E+2	2,489318E+0	4,281250E+2	3,642846E+0
4,296875E+2	2,158896E+0	4,296875E+2	-1,079402E+0	4,296875E+2	2,783866E+0	4,296875E+2	3,522501E+0
4,312500E+2	2,320347E+0	4,312500E+2	-1,125111E+0	4,312500E+2	3,054922E+0	4,312500E+2	3,402534E+0
4,328125E+2	1,624492E+0	4,328125E+2	-2,782038E+0	4,328125E+2	3,242370E+0	4,328125E+2	3,251625E+0
4,343750E+2	8,623389E-1	4,343750E+2	-4,923854E+0	4,343750E+2	3,415366E+0	4,343750E+2	3,099041E+0
4,359375E+2	-5,724362E-1	4,359375E+2	-6,027941E-1	4,359375E+2	3,473829E+0	4,359375E+2	3,044174E+0
4,375000E+2	-2,293991E+0	4,375000E+2	2,323970E+0	4,375000E+2	3,521439E+0	4,375000E+2	2,989518E+0
4,390625E+2	-2,522209E+0	4,390625E+2	2,304793E+0	4,390625E+2	3,626712E+0	4,390625E+2	2,933533E+0
4,406250E+2	-2,753373E+0	4,406250E+2	2,285210E+0	4,406250E+2	3,724045E+0	4,406250E+2	2,877734E+0
4,421875E+2	-2,959407E+0	4,421875E+2	2,243398E+0	4,421875E+2	3,807663E+0	4,421875E+2	2,819720E+0
4,437500E+2	-3,167085E+0	4,437500E+2	2,201726E+0	4,437500E+2	3,888663E+0	4,437500E+2	2,762029E+0
4,453125E+2	-4,707814E-1	4,453125E+2	-1,125844E+0	4,453125E+2	3,947016E+0	4,453125E+2	2,701675E+0
