Sample 1_Frequency [Hz]	Absorption Coefficient on Hard Wall	Sample 2_Frequency [Hz]	Absorption Coefficient on Hard Wall	Sample 3_Frequency [Hz]	Absorption Coefficient on Hard Wall	Sample 4_Frequency [Hz]	Absorption Coefficient on Hard Wall	
5,000000E+2	2,900637E-1	5,000000E+2	2,269429E-1	5,000000E+2	9,008109E-1	5,000000E+2	7,503302E-1
5,015625E+2	2,856123E-1	5,015625E+2	2,312148E-1	5,015625E+2	9,073442E-1	5,015625E+2	7,326777E-1
5,031250E+2	2,787036E-1	5,031250E+2	2,346629E-1	5,031250E+2	9,135478E-1	5,031250E+2	7,158979E-1
5,046875E+2	2,874529E-1	5,046875E+2	2,418791E-1	5,046875E+2	9,166677E-1	5,046875E+2	7,027437E-1
5,062500E+2	2,926322E-1	5,062500E+2	2,466711E-1	5,062500E+2	9,198445E-1	5,062500E+2	6,902059E-1
5,078125E+2	2,963623E-1	5,078125E+2	2,447825E-1	5,078125E+2	9,217048E-1	5,078125E+2	6,803632E-1
5,093750E+2	2,976109E-1	5,093750E+2	2,409539E-1	5,093750E+2	9,238085E-1	5,093750E+2	6,708681E-1
5,109375E+2	2,973522E-1	5,109375E+2	2,394056E-1	5,109375E+2	9,261733E-1	5,109375E+2	6,583842E-1
5,125000E+2	2,962991E-1	5,125000E+2	2,355323E-1	5,125000E+2	9,287186E-1	5,125000E+2	6,465333E-1
5,140625E+2	2,964256E-1	5,140625E+2	2,439872E-1	5,140625E+2	9,303243E-1	5,140625E+2	6,280398E-1
5,156250E+2	2,974091E-1	5,156250E+2	2,476953E-1	5,156250E+2	9,321119E-1	5,156250E+2	6,109180E-1
5,171875E+2	3,079111E-1	5,171875E+2	2,490904E-1	5,171875E+2	9,306111E-1	5,171875E+2	5,998519E-1
5,187500E+2	3,040624E-1	5,187500E+2	2,441456E-1	5,187500E+2	9,293192E-1	5,187500E+2	5,890821E-1
5,203125E+2	3,183336E-1	5,203125E+2	2,567735E-1	5,203125E+2	9,236840E-1	5,203125E+2	5,836201E-1
5,218750E+2	3,111568E-1	5,218750E+2	2,536389E-1	5,218750E+2	9,181005E-1	5,218750E+2	5,772403E-1
5,234375E+2	3,154574E-1	5,234375E+2	2,696503E-1	5,234375E+2	9,094391E-1	5,234375E+2	5,777600E-1
5,250000E+2	3,038950E-1	5,250000E+2	2,585640E-1	5,250000E+2	9,009405E-1	5,250000E+2	5,768561E-1
5,265625E+2	3,043766E-1	5,265625E+2	2,803037E-1	5,265625E+2	8,925474E-1	5,265625E+2	5,754740E-1
5,281250E+2	2,936186E-1	5,281250E+2	2,838585E-1	5,281250E+2	8,847305E-1	5,281250E+2	5,727626E-1
5,296875E+2	3,004990E-1	5,296875E+2	9,489621E-1	5,296875E+2	8,790647E-1	5,296875E+2	5,726459E-1
5,312500E+2	2,973512E-1	5,312500E+2	-2,083216E-1	5,312500E+2	8,741474E-1	5,312500E+2	5,697775E-1
5,328125E+2	8,693167E-1	5,328125E+2	-2,039443E-1	5,328125E+2	8,684128E-1	5,328125E+2	5,634313E-1
5,343750E+2	1,425560E-2	5,343750E+2	-1,900462E-1	5,343750E+2	8,634260E-1	5,343750E+2	5,504905E-1
5,359375E+2	4,150093E-3	5,359375E+2	-1,877563E-1	5,359375E+2	8,608885E-1	5,359375E+2	5,464221E-1
5,375000E+2	-2,204564E-3	5,375000E+2	-1,768005E-1	5,375000E+2	8,587141E-1	5,375000E+2	5,374716E-1
5,390625E+2	-3,374105E-3	5,390625E+2	-1,763572E-1	5,390625E+2	8,613151E-1	5,390625E+2	5,437768E-1
5,406250E+2	-1,967960E-3	5,406250E+2	-1,671514E-1	5,406250E+2	8,635149E-1	5,406250E+2	5,468858E-1
5,421875E+2	-4,732658E-1	5,421875E+2	-8,515777E-1	5,421875E+2	8,670660E-1	5,421875E+2	5,587743E-1
5,437500E+2	1,084133E-1	5,437500E+2	5,223608E-2	5,437500E+2	8,699725E-1	5,437500E+2	5,673125E-1
5,453125E+2	1,192013E-1	5,453125E+2	6,887990E-2	5,453125E+2	8,731838E-1	5,453125E+2	6,581246E-1
5,468750E+2	1,302787E-1	5,468750E+2	8,577090E-2	5,468750E+2	8,757055E-1	5,468750E+2	4,186621E-1
5,484375E+2	1,179532E-1	5,484375E+2	1,024267E-1	5,484375E+2	8,724315E-1	5,484375E+2	5,401132E-1
5,500000E+2	1,044264E-1	5,500000E+2	1,192254E-1	5,500000E+2	8,690969E-1	5,500000E+2	2,132480E-1
5,515625E+2	9,599537E-2	5,515625E+2	1,372966E-1	5,515625E+2	8,488640E-1	5,515625E+2	-2,616348E-1
5,531250E+2	8,668997E-2	5,531250E+2	1,170603E-1	5,531250E+2	8,291684E-1	5,531250E+2	-8,113623E-1
5,546875E+2	2,327614E-1	5,546875E+2	1,154253E-1	5,546875E+2	7,720881E-1	5,546875E+2	-7,362891E-1
