Sample 1 - Real_Frequency [Hz]	T12 Transfer Matrix Coefficient	Sample 1 - Imag_Frequency [Hz]	T12 Transfer Matrix Coefficient	Sample 2 - Real_Frequency [Hz]	T12 Transfer Matrix Coefficient	Sample 2 - Imag_Frequency [Hz]	T12 Transfer Matrix Coefficient	Sample 3 - Real_Frequency [Hz]	T12 Transfer Matrix Coefficient	Sample 3 - Imag_Frequency [Hz]	T12 Transfer Matrix Coefficient	Sample 4 - Real_Frequency [Hz]	T12 Transfer Matrix Coefficient	Sample 4 - Imag_Frequency [Hz]	T12 Transfer Matrix Coefficient	
3,671875E+2	5,617898E+1	3,671875E+2	-3,878563E+2	3,671875E+2	2,046409E+1	3,671875E+2	-3,680024E+2	3,671875E+2	1,499908E+1	3,671875E+2	-2,599969E+2	3,671875E+2	7,289788E+0	3,671875E+2	-2,499998E+2
3,687500E+2	5,502876E+1	3,687500E+2	-3,853074E+2	3,687500E+2	2,060103E+1	3,687500E+2	-3,657657E+2	3,687500E+2	1,456907E+1	3,687500E+2	-2,578643E+2	3,687500E+2	5,559414E+0	3,687500E+2	-2,479158E+2
3,703125E+2	5,382008E+1	3,703125E+2	-3,828218E+2	3,703125E+2	2,053421E+1	3,703125E+2	-3,635386E+2	3,703125E+2	1,410087E+1	3,703125E+2	-2,557722E+2	3,703125E+2	3,869522E+0	3,703125E+2	-2,457848E+2
3,718750E+2	5,266335E+1	3,718750E+2	-3,803609E+2	3,718750E+2	2,050967E+1	3,718750E+2	-3,613458E+2	3,718750E+2	1,362090E+1	3,718750E+2	-2,536943E+2	3,718750E+2	2,183521E+0	3,718750E+2	-2,436659E+2
3,734375E+2	5,173376E+1	3,734375E+2	-3,780866E+2	3,734375E+2	2,052370E+1	3,734375E+2	-3,591613E+2	3,734375E+2	1,315052E+1	3,734375E+2	-2,517327E+2	3,734375E+2	4,949815E-1	3,734375E+2	-2,416039E+2
3,750000E+2	5,087763E+1	3,750000E+2	-3,758554E+2	3,750000E+2	2,057950E+1	3,750000E+2	-3,570059E+2	3,750000E+2	1,266083E+1	3,750000E+2	-2,497973E+2	3,750000E+2	-1,206725E+0	3,750000E+2	-2,395646E+2
3,765625E+2	5,001279E+1	3,765625E+2	-3,737162E+2	3,765625E+2	2,048255E+1	3,765625E+2	-3,548755E+2	3,765625E+2	2,571367E+1	3,765625E+2	-2,505848E+2	3,765625E+2	-2,833940E+0	3,765625E+2	-2,376177E+2
3,781250E+2	4,922259E+1	3,781250E+2	-3,716328E+2	3,781250E+2	2,041668E+1	3,781250E+2	-3,527737E+2	3,781250E+2	4,547553E+1	3,781250E+2	-2,536614E+2	3,781250E+2	-4,486339E+0	3,781250E+2	-2,357205E+2
3,796875E+2	4,840272E+1	3,796875E+2	-3,695592E+2	3,796875E+2	2,028613E+1	3,796875E+2	-3,506420E+2	3,796875E+2	4,497164E+1	3,796875E+2	-2,528762E+2	3,796875E+2	4,002051E+1	3,796875E+2	-2,438341E+2
3,812500E+2	4,764654E+1	3,812500E+2	-3,675509E+2	3,812500E+2	2,017904E+1	3,812500E+2	-3,485378E+2	3,812500E+2	4,441725E+1	3,812500E+2	-2,520997E+2	3,812500E+2	1,070730E+2	3,812500E+2	-2,569727E+2
3,828125E+2	4,715826E+1	3,828125E+2	-3,659466E+2	3,828125E+2	1,997207E+1	3,828125E+2	-3,464573E+2	3,828125E+2	4,404760E+1	3,828125E+2	-2,512012E+2	3,828125E+2	1,080361E+2	3,828125E+2	-2,565500E+2
3,843750E+2	4,678175E+1	3,843750E+2	-3,644613E+2	3,843750E+2	1,979032E+1	3,843750E+2	-3,444017E+2	3,843750E+2	4,364687E+1	3,843750E+2	-2,503062E+2	3,843750E+2	1,089721E+2	3,843750E+2	-2,561466E+2
3,859375E+2	4,655273E+1	3,859375E+2	-3,633992E+2	3,859375E+2	1,964435E+1	3,859375E+2	-3,423830E+2	3,859375E+2	4,354547E+1	3,859375E+2	-2,493983E+2	3,859375E+2	8,657450E+1	3,859375E+2	-2,599313E+2
3,875000E+2	4,644765E+1	3,875000E+2	-3,625191E+2	3,875000E+2	1,952487E+1	3,875000E+2	-3,403875E+2	3,875000E+2	4,343035E+1	3,875000E+2	-2,484922E+2	3,875000E+2	6,095754E+1	3,875000E+2	-2,643113E+2
3,890625E+2	4,352939E+1	3,890625E+2	-3,564456E+2	3,890625E+2	1,930924E+1	3,890625E+2	-3,383540E+2	3,890625E+2	4,360429E+1	3,890625E+2	-2,473811E+2	3,890625E+2	5,138250E+1	3,890625E+2	-2,663253E+2
3,906250E+2	3,936394E+1	3,906250E+2	-3,490066E+2	3,906250E+2	1,911287E+1	3,906250E+2	-3,363383E+2	3,906250E+2	4,378320E+1	3,906250E+2	-2,462811E+2	3,906250E+2	4,153490E+1	3,906250E+2	-2,684378E+2
3,921875E+2	3,306587E+1	3,921875E+2	-3,486053E+2	3,921875E+2	1,883223E+1	3,921875E+2	-3,343498E+2	3,921875E+2	4,413220E+1	3,921875E+2	-2,452987E+2	3,921875E+2	3,424898E+1	3,921875E+2	-2,689396E+2
3,937500E+2	2,541232E+1	3,937500E+2	-3,472902E+2	3,937500E+2	1,857504E+1	3,937500E+2	-3,323738E+2	3,937500E+2	4,448539E+1	3,937500E+2	-2,443370E+2	3,937500E+2	2,682276E+1	3,937500E+2	-2,694808E+2
3,953125E+2	2,379963E+1	3,953125E+2	-3,454533E+2	3,953125E+2	1,831077E+1	3,953125E+2	-3,304375E+2	3,953125E+2	4,518204E+1	3,953125E+2	-2,432562E+2	3,953125E+2	1,939385E+1	3,953125E+2	-2,692495E+2
3,968750E+2	2,226647E+1	3,968750E+2	-3,438734E+2	3,968750E+2	1,806755E+1	3,968750E+2	-3,285043E+2	3,968750E+2	4,588368E+1	3,968750E+2	-2,422093E+2	3,968750E+2	1,185929E+1	3,968750E+2	-2,690506E+2
3,984375E+2	2,058793E+1	3,984375E+2	-3,419241E+2	3,984375E+2	1,127384E+1	3,984375E+2	-3,198177E+2	3,984375E+2	3,014296E+1	3,984375E+2	-2,545273E+2	3,984375E+2	5,782980E+0	3,984375E+2	-2,689888E+2
4,000000E+2	1,897151E+1	4,000000E+2	-3,401658E+2	4,000000E+2	2,336069E+0	4,000000E+2	-3,079793E+2	4,000000E+2	1,353107E+1	4,000000E+2	-2,674070E+2	4,000000E+2	-3,389011E-1	4,000000E+2	-2,690166E+2
4,015625E+2	2,734046E+1	4,015625E+2	-3,470994E+2	4,015625E+2	1,023347E+0	4,015625E+2	-3,052052E+2	4,015625E+2	-5,482521E+0	4,015625E+2	-2,837108E+2	4,015625E+2	1,117622E+1	4,015625E+2	-2,729442E+2
4,031250E+2	3,839608E+1	4,031250E+2	-3,577963E+2	4,031250E+2	-3,047242E-1	4,031250E+2	-3,024324E+2	4,031250E+2	-2,451666E+1	4,031250E+2	-3,004519E+2	4,031250E+2	2,307762E+1	4,031250E+2	-2,769499E+2
4,046875E+2	3,796183E+1	4,046875E+2	-3,550401E+2	4,046875E+2	-1,539196E+0	4,046875E+2	-2,997270E+2	4,046875E+2	-3,064613E+1	4,046875E+2	-3,043318E+2	4,046875E+2	3,235161E+1	4,046875E+2	-2,754212E+2
4,062500E+2	3,754964E+1	4,062500E+2	-3,523319E+2	4,062500E+2	-2,779767E+0	4,062500E+2	-2,970153E+2	4,062500E+2	-3,674667E+1	4,062500E+2	-3,081534E+2	4,062500E+2	4,144826E+1	4,062500E+2	-2,740491E+2
4,078125E+2	3,726815E+1	4,078125E+2	-3,496079E+2	4,078125E+2	4,012709E+0	4,078125E+2	-3,081838E+2	4,078125E+2	-4,135148E+1	4,078125E+2	-3,107440E+2	4,078125E+2	4,863772E+1	4,078125E+2	-2,765530E+2
4,093750E+2	3,702162E+1	4,093750E+2	-3,469292E+2	4,093750E+2	1,256034E+1	4,093750E+2	-3,229316E+2	4,093750E+2	-4,592684E+1	4,093750E+2	-3,132384E+2	4,093750E+2	5,572839E+1	4,093750E+2	-2,788750E+2
4,109375E+2	3,674567E+1	4,109375E+2	-3,442778E+2	4,109375E+2	1,262358E+1	4,109375E+2	-3,200903E+2	4,109375E+2	-2,417826E+0	4,109375E+2	-2,861587E+2	4,109375E+2	5,815702E+1	4,109375E+2	-2,792105E+2
4,125000E+2	3,650338E+1	4,125000E+2	-3,416696E+2	4,125000E+2	1,271474E+1	4,125000E+2	-3,172927E+2	4,125000E+2	4,255163E+1	4,125000E+2	-2,571790E+2	4,125000E+2	6,038948E+1	4,125000E+2	-2,794209E+2
4,140625E+2	3,623251E+1	4,140625E+2	-3,389365E+2	4,140625E+2	1,276942E+1	4,140625E+2	-3,147532E+2	4,140625E+2	5,058893E+1	4,140625E+2	-2,505876E+2	4,140625E+2	3,118095E+1	4,140625E+2	-2,651792E+2
4,156250E+2	3,600488E+1	4,156250E+2	-3,362603E+2	4,156250E+2	1,285563E+1	4,156250E+2	-3,122774E+2	4,156250E+2	5,824493E+1	4,156250E+2	-2,441614E+2	4,156250E+2	-1,218552E+0	4,156250E+2	-2,568918E+2
