Sample 1_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 2_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 3_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 4_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 5_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 6_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 8_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 9_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 10_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 11_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 12_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 13_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	
3,531250E+2	9,994401E+1	3,531250E+2	1,100215E+2	3,531250E+2	1,200168E+2	3,531250E+2	1,300091E+2	3,531250E+2	1,400662E+2	3,531250E+2	1,451834E+2	3,531250E+2	9,758113E+1	3,531250E+2	1,072850E+2	3,531250E+2	1,164133E+2	3,531250E+2	1,253514E+2	3,531250E+2	1,344502E+2	3,531250E+2	1,390258E+2
3,546875E+2	9,997321E+1	3,546875E+2	1,100115E+2	3,546875E+2	1,200104E+2	3,546875E+2	1,300041E+2	3,546875E+2	1,400194E+2	3,546875E+2	1,451075E+2	3,546875E+2	9,749266E+1	3,546875E+2	1,072237E+2	3,546875E+2	1,164073E+2	3,546875E+2	1,253952E+2	3,546875E+2	1,345263E+2	3,546875E+2	1,391106E+2
3,562500E+2	1,000023E+2	3,562500E+2	1,100016E+2	3,562500E+2	1,200041E+2	3,562500E+2	1,299992E+2	3,562500E+2	1,399724E+2	3,562500E+2	1,450309E+2	3,562500E+2	9,740328E+1	3,562500E+2	1,071620E+2	3,562500E+2	1,164013E+2	3,562500E+2	1,254388E+2	3,562500E+2	1,346018E+2	3,562500E+2	1,391947E+2
3,578125E+2	9,998845E+1	3,578125E+2	1,099961E+2	3,578125E+2	1,200045E+2	3,578125E+2	1,300032E+2	3,578125E+2	1,399458E+2	3,578125E+2	1,449352E+2	3,578125E+2	9,729157E+1	3,578125E+2	1,070846E+2	3,578125E+2	1,163916E+2	3,578125E+2	1,254790E+2	3,578125E+2	1,346737E+2	3,578125E+2	1,392771E+2
3,593750E+2	9,997456E+1	3,593750E+2	1,099905E+2	3,593750E+2	1,200049E+2	3,593750E+2	1,300073E+2	3,593750E+2	1,399193E+2	3,593750E+2	1,448385E+2	3,593750E+2	9,717842E+1	3,593750E+2	1,070065E+2	3,593750E+2	1,163819E+2	3,593750E+2	1,255192E+2	3,593750E+2	1,347449E+2	3,593750E+2	1,393588E+2
3,609375E+2	9,999423E+1	3,609375E+2	1,099881E+2	3,609375E+2	1,200055E+2	3,609375E+2	1,300093E+2	3,609375E+2	1,399655E+2	3,609375E+2	1,449013E+2	3,609375E+2	9,700790E+1	3,609375E+2	1,069158E+2	3,609375E+2	1,163687E+2	3,609375E+2	1,255589E+2	3,609375E+2	1,348130E+2	3,609375E+2	1,394381E+2
3,625000E+2	1,000139E+2	3,625000E+2	1,099856E+2	3,625000E+2	1,200062E+2	3,625000E+2	1,300113E+2	3,625000E+2	1,400115E+2	3,625000E+2	1,449638E+2	3,625000E+2	9,683398E+1	3,625000E+2	1,068241E+2	3,625000E+2	1,163555E+2	3,625000E+2	1,255985E+2	3,625000E+2	1,348805E+2	3,625000E+2	1,395166E+2
3,640625E+2	1,000304E+2	3,640625E+2	1,099836E+2	3,640625E+2	1,200049E+2	3,640625E+2	1,300103E+2	3,640625E+2	1,400199E+2	3,640625E+2	1,449898E+2	3,640625E+2	9,665093E+1	3,640625E+2	1,067210E+2	3,640625E+2	1,163390E+2	3,640625E+2	1,256382E+2	3,640625E+2	1,349499E+2	3,640625E+2	1,395941E+2
3,656250E+2	1,000469E+2	3,656250E+2	1,099817E+2	3,656250E+2	1,200037E+2	3,656250E+2	1,300094E+2	3,656250E+2	1,400282E+2	3,656250E+2	1,450159E+2	3,656250E+2	9,646394E+1	3,656250E+2	1,066167E+2	3,656250E+2	1,163225E+2	3,656250E+2	1,256777E+2	3,656250E+2	1,350188E+2	3,656250E+2	1,396709E+2
3,671875E+2	1,000495E+2	3,671875E+2	1,099812E+2	3,671875E+2	1,200021E+2	3,671875E+2	1,300073E+2	3,671875E+2	1,400169E+2	3,671875E+2	1,450070E+2	3,671875E+2	9,625016E+1	3,671875E+2	1,065016E+2	3,671875E+2	1,163022E+2	3,671875E+2	1,257157E+2	3,671875E+2	1,350871E+2	3,671875E+2	1,397474E+2
3,687500E+2	1,000521E+2	3,687500E+2	1,099807E+2	3,687500E+2	1,200004E+2	3,687500E+2	1,300052E+2	3,687500E+2	1,400057E+2	3,687500E+2	1,449981E+2	3,687500E+2	9,603099E+1	3,687500E+2	1,063849E+2	3,687500E+2	1,162818E+2	3,687500E+2	1,257535E+2	3,687500E+2	1,351548E+2	3,687500E+2	1,398233E+2
3,703125E+2	1,000323E+2	3,703125E+2	1,099854E+2	3,703125E+2	1,200005E+2	3,703125E+2	1,300041E+2	3,703125E+2	1,399989E+2	3,703125E+2	1,449916E+2	3,703125E+2	9,581763E+1	3,703125E+2	1,062705E+2	3,703125E+2	1,162575E+2	3,703125E+2	1,257912E+2	3,703125E+2	1,352209E+2	3,703125E+2	1,398970E+2
