Sample 1 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 1 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 2 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 2 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 3 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 3 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 4 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 4 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 5 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 5 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 7 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 7 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 8 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 8 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	
3,484375E+2	5,709196E-1	3,484375E+2	-1,325859E+0	3,484375E+2	5,933116E-1	3,484375E+2	-1,301458E+0	3,484375E+2	6,596347E-1	3,484375E+2	-1,326933E+0	3,484375E+2	9,199408E-1	3,484375E+2	-1,487247E+0	3,484375E+2	1,779430E+0	3,484375E+2	-1,909301E+0	3,484375E+2	2,190245E+0	3,484375E+2	-2,060973E+0	3,484375E+2	2,858730E+0	3,484375E+2	-2,374213E+0
3,500000E+2	5,563150E-1	3,500000E+2	-1,240715E+0	3,500000E+2	5,629604E-1	3,500000E+2	-1,256215E+0	3,500000E+2	6,221463E-1	3,500000E+2	-1,282070E+0	3,500000E+2	8,817254E-1	3,500000E+2	-1,465219E+0	3,500000E+2	1,646334E+0	3,500000E+2	-1,807419E+0	3,500000E+2	2,126737E+0	3,500000E+2	-2,101802E+0	3,500000E+2	2,660371E+0	3,500000E+2	-2,380437E+0
3,515625E+2	5,916985E-1	3,515625E+2	-1,288309E+0	3,515625E+2	5,673339E-1	3,515625E+2	-1,229409E+0	3,515625E+2	6,512445E-1	3,515625E+2	-1,249899E+0	3,515625E+2	9,218060E-1	3,515625E+2	-1,460887E+0	3,515625E+2	1,665115E+0	3,515625E+2	-1,770161E+0	3,515625E+2	2,179096E+0	3,515625E+2	-2,016159E+0	3,515625E+2	2,666852E+0	3,515625E+2	-2,242118E+0
3,531250E+2	5,760053E-1	3,531250E+2	-1,296922E+0	3,531250E+2	5,855374E-1	3,531250E+2	-1,229363E+0	3,531250E+2	6,860133E-1	3,531250E+2	-1,240869E+0	3,531250E+2	9,642522E-1	3,531250E+2	-1,415608E+0	3,531250E+2	1,689781E+0	3,531250E+2	-1,742997E+0	3,531250E+2	2,264470E+0	3,531250E+2	-1,980435E+0	3,531250E+2	2,794915E+0	3,531250E+2	-2,244034E+0
3,546875E+2	5,834754E-1	3,546875E+2	-1,213436E+0	3,546875E+2	6,101463E-1	3,546875E+2	-1,176412E+0	3,546875E+2	6,786604E-1	3,546875E+2	-1,203519E+0	3,546875E+2	9,614673E-1	3,546875E+2	-1,380386E+0	3,546875E+2	1,716761E+0	3,546875E+2	-1,699183E+0	3,546875E+2	2,298572E+0	3,546875E+2	-2,019410E+0	3,546875E+2	2,789409E+0	3,546875E+2	-2,325683E+0
3,562500E+2	5,631588E-1	3,562500E+2	-1,161523E+0	3,562500E+2	6,183413E-1	3,562500E+2	-1,154351E+0	3,562500E+2	6,562240E-1	3,562500E+2	-1,196702E+0	3,562500E+2	8,954948E-1	3,562500E+2	-1,364836E+0	3,562500E+2	1,745542E+0	3,562500E+2	-1,771557E+0	3,562500E+2	2,206695E+0	3,562500E+2	-2,095600E+0	3,562500E+2	2,746763E+0	3,562500E+2	-2,397915E+0
3,578125E+2	5,357648E-1	3,578125E+2	-1,093496E+0	3,578125E+2	6,257206E-1	3,578125E+2	-1,134521E+0	3,578125E+2	6,616092E-1	3,578125E+2	-1,158959E+0	3,578125E+2	9,291800E-1	3,578125E+2	-1,347959E+0	3,578125E+2	1,703411E+0	3,578125E+2	-1,729868E+0	3,578125E+2	2,205098E+0	3,578125E+2	-1,975323E+0	3,578125E+2	2,794632E+0	3,578125E+2	-2,311349E+0
3,593750E+2	5,742152E-1	3,593750E+2	-1,082776E+0	3,593750E+2	6,305344E-1	3,593750E+2	-1,103986E+0	3,593750E+2	6,625126E-1	3,593750E+2	-1,150673E+0	3,593750E+2	9,955122E-1	3,593750E+2	-1,350909E+0	3,593750E+2	1,763015E+0	3,593750E+2	-1,692330E+0	3,593750E+2	2,224594E+0	3,593750E+2	-1,974614E+0	3,593750E+2	2,912765E+0	3,593750E+2	-2,313221E+0
3,609375E+2	6,152107E-1	3,609375E+2	-1,084403E+0	3,609375E+2	6,365796E-1	3,609375E+2	-1,073988E+0	3,609375E+2	6,773498E-1	3,609375E+2	-1,104618E+0	3,609375E+2	9,941987E-1	3,609375E+2	-1,298767E+0	3,609375E+2	1,798939E+0	3,609375E+2	-1,640316E+0	3,609375E+2	2,218038E+0	3,609375E+2	-1,872368E+0	3,609375E+2	2,711740E+0	3,609375E+2	-2,249426E+0
3,625000E+2	6,002230E-1	3,625000E+2	-1,017900E+0	3,625000E+2	6,407335E-1	3,625000E+2	-1,026519E+0	3,625000E+2	6,883282E-1	3,625000E+2	-1,049681E+0	3,625000E+2	9,854607E-1	3,625000E+2	-1,216971E+0	3,625000E+2	1,686431E+0	3,625000E+2	-1,615682E+0	3,625000E+2	2,163862E+0	3,625000E+2	-1,810864E+0	3,625000E+2	2,744624E+0	3,625000E+2	-2,019258E+0
3,640625E+2	5,959750E-1	3,640625E+2	-9,835378E-1	3,640625E+2	6,504018E-1	3,640625E+2	-1,014843E+0	3,640625E+2	6,986921E-1	3,640625E+2	-1,040968E+0	3,640625E+2	9,984752E-1	3,640625E+2	-1,201445E+0	3,640625E+2	1,667453E+0	3,640625E+2	-1,672919E+0	3,640625E+2	2,197997E+0	3,640625E+2	-1,814704E+0	3,640625E+2	2,902574E+0	3,640625E+2	-2,124435E+0
3,656250E+2	6,347225E-1	3,656250E+2	-9,956006E-1	3,656250E+2	6,379228E-1	3,656250E+2	-1,018039E+0	3,656250E+2	6,929407E-1	3,656250E+2	-1,030905E+0	3,656250E+2	9,500932E-1	3,656250E+2	-1,197078E+0	3,656250E+2	1,673294E+0	3,656250E+2	-1,664203E+0	3,656250E+2	2,186782E+0	3,656250E+2	-1,876150E+0	3,656250E+2	2,749223E+0	3,656250E+2	-2,180521E+0
