Sample 1_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 2_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 3_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 4_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 5_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 6_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 7_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	
3,921875E+2	5,569220E+1	3,921875E+2	6,485647E+1	3,921875E+2	7,553166E+1	3,921875E+2	8,586806E+1	3,921875E+2	9,834506E+1	3,921875E+2	1,031340E+2	3,921875E+2	1,072597E+2
3,937500E+2	5,581181E+1	3,937500E+2	6,609869E+1	3,937500E+2	7,590537E+1	3,937500E+2	8,558818E+1	3,937500E+2	9,746336E+1	3,937500E+2	1,037187E+2	3,937500E+2	1,068062E+2
3,953125E+2	5,469338E+1	3,953125E+2	6,668814E+1	3,953125E+2	7,578498E+1	3,953125E+2	8,739933E+1	3,953125E+2	9,822612E+1	3,953125E+2	1,030264E+2	3,953125E+2	1,068465E+2
3,968750E+2	5,531476E+1	3,968750E+2	6,611708E+1	3,968750E+2	7,601711E+1	3,968750E+2	8,712920E+1	3,968750E+2	9,854399E+1	3,968750E+2	1,027893E+2	3,968750E+2	1,077625E+2
3,984375E+2	5,707417E+1	3,984375E+2	6,621624E+1	3,984375E+2	7,687263E+1	3,984375E+2	8,812541E+1	3,984375E+2	9,889256E+1	3,984375E+2	1,036504E+2	3,984375E+2	1,078682E+2
4,000000E+2	5,730386E+1	4,000000E+2	6,653811E+1	4,000000E+2	7,652669E+1	4,000000E+2	8,866425E+1	4,000000E+2	9,909535E+1	4,000000E+2	1,039862E+2	4,000000E+2	1,071345E+2
4,015625E+2	5,668951E+1	4,015625E+2	6,667233E+1	4,015625E+2	7,575831E+1	4,015625E+2	8,872420E+1	4,015625E+2	9,969042E+1	4,015625E+2	1,046242E+2	4,015625E+2	1,083494E+2
4,031250E+2	5,631672E+1	4,031250E+2	6,755659E+1	4,031250E+2	7,648284E+1	4,031250E+2	8,826090E+1	4,031250E+2	9,996530E+1	4,031250E+2	1,045641E+2	4,031250E+2	1,086669E+2
4,046875E+2	5,639002E+1	4,046875E+2	6,725006E+1	4,046875E+2	7,791530E+1	4,046875E+2	8,802280E+1	4,046875E+2	9,846890E+1	4,046875E+2	1,030303E+2	4,046875E+2	1,087521E+2
4,062500E+2	5,688074E+1	4,062500E+2	6,689063E+1	4,062500E+2	7,829321E+1	4,062500E+2	8,858347E+1	4,062500E+2	9,889435E+1	4,062500E+2	1,026874E+2	4,062500E+2	1,087828E+2
4,078125E+2	5,698942E+1	4,078125E+2	6,760276E+1	4,078125E+2	7,896900E+1	4,078125E+2	8,884395E+1	4,078125E+2	9,929170E+1	4,078125E+2	1,037589E+2	4,078125E+2	1,093146E+2
4,093750E+2	5,722700E+1	4,093750E+2	6,927083E+1	4,093750E+2	7,868224E+1	4,093750E+2	8,933789E+1	4,093750E+2	1,004403E+2	4,093750E+2	1,048514E+2	4,093750E+2	1,104444E+2
4,109375E+2	5,957321E+1	4,109375E+2	6,922959E+1	4,109375E+2	7,892484E+1	4,109375E+2	8,942628E+1	4,109375E+2	9,993056E+1	4,109375E+2	1,044652E+2	4,109375E+2	1,101997E+2
4,125000E+2	5,984717E+1	4,125000E+2	6,793650E+1	4,125000E+2	7,929749E+1	4,125000E+2	9,027122E+1	4,125000E+2	1,010221E+2	4,125000E+2	1,058523E+2	4,125000E+2	1,097263E+2
4,140625E+2	5,938504E+1	4,140625E+2	6,821498E+1	4,140625E+2	7,949698E+1	4,140625E+2	9,126899E+1	4,140625E+2	1,012681E+2	4,140625E+2	1,068740E+2	4,140625E+2	1,103720E+2
4,156250E+2	6,038263E+1	4,156250E+2	6,918298E+1	4,156250E+2	7,968916E+1	4,156250E+2	9,201886E+1	4,156250E+2	1,005097E+2	4,156250E+2	1,067000E+2	4,156250E+2	1,107139E+2
4,171875E+2	6,060437E+1	4,171875E+2	7,039422E+1	4,171875E+2	8,010209E+1	4,171875E+2	9,200382E+1	4,171875E+2	1,013906E+2	4,171875E+2	1,060902E+2	4,171875E+2	1,106696E+2
4,187500E+2	6,490705E+1	4,187500E+2	7,135809E+1	4,187500E+2	8,086711E+1	4,187500E+2	9,087905E+1	4,187500E+2	1,014781E+2	4,187500E+2	1,066093E+2	4,187500E+2	1,108600E+2
4,203125E+2	6,712045E+1	4,203125E+2	7,298390E+1	4,203125E+2	8,159981E+1	4,203125E+2	9,035928E+1	4,203125E+2	1,013428E+2	4,203125E+2	1,071920E+2	4,203125E+2	1,116532E+2
4,218750E+2	6,203323E+1	4,218750E+2	7,226138E+1	4,218750E+2	8,126391E+1	4,218750E+2	9,148407E+1	4,218750E+2	1,019246E+2	4,218750E+2	1,073320E+2	4,218750E+2	1,122510E+2
4,234375E+2	6,176557E+1	4,234375E+2	7,244063E+1	4,234375E+2	8,081161E+1	4,234375E+2	9,305459E+1	4,234375E+2	1,016014E+2	4,234375E+2	1,092061E+2	4,234375E+2	1,122033E+2
4,250000E+2	6,220797E+1	4,250000E+2	7,269557E+1	4,250000E+2	8,178541E+1	4,250000E+2	9,328785E+1	4,250000E+2	1,021571E+2	4,250000E+2	1,095738E+2	4,250000E+2	1,129241E+2
4,265625E+2	6,140635E+1	4,265625E+2	7,269581E+1	4,265625E+2	8,315715E+1	4,265625E+2	9,307521E+1	4,265625E+2	1,022965E+2	4,265625E+2	1,091525E+2	4,265625E+2	1,125009E+2
4,281250E+2	6,215104E+1	4,281250E+2	7,291543E+1	4,281250E+2	8,322388E+1	4,281250E+2	9,250179E+1	4,281250E+2	1,025476E+2	4,281250E+2	1,083702E+2	4,281250E+2	1,135778E+2
4,296875E+2	6,210462E+1	4,296875E+2	7,348917E+1	4,296875E+2	8,340615E+1	4,296875E+2	9,315828E+1	4,296875E+2	1,038567E+2	4,296875E+2	1,087947E+2	4,296875E+2	1,136654E+2
4,312500E+2	6,273766E+1	4,312500E+2	7,352765E+1	4,312500E+2	8,328918E+1	4,312500E+2	9,382369E+1	4,312500E+2	1,045507E+2	4,312500E+2	1,097395E+2	4,312500E+2	1,148155E+2
4,328125E+2	6,332219E+1	4,328125E+2	7,337234E+1	4,328125E+2	8,283919E+1	4,328125E+2	9,460060E+1	4,328125E+2	1,044227E+2	4,328125E+2	1,089545E+2	4,328125E+2	1,144023E+2
4,343750E+2	6,383749E+1	4,343750E+2	7,328389E+1	4,343750E+2	8,378358E+1	4,343750E+2	9,480964E+1	4,343750E+2	1,049484E+2	4,343750E+2	1,091650E+2	4,343750E+2	1,135779E+2
4,359375E+2	6,394327E+1	4,359375E+2	7,238532E+1	4,359375E+2	8,373646E+1	4,359375E+2	9,489034E+1	4,359375E+2	1,051782E+2	4,359375E+2	1,097645E+2	4,359375E+2	1,137946E+2
4,375000E+2	6,379512E+1	4,375000E+2	7,402454E+1	4,375000E+2	8,493359E+1	4,375000E+2	9,483474E+1	4,375000E+2	1,053653E+2	4,375000E+2	1,104657E+2	4,375000E+2	1,154475E+2
4,390625E+2	6,373958E+1	4,390625E+2	7,402085E+1	4,390625E+2	8,564949E+1	4,390625E+2	9,522394E+1	4,390625E+2	1,053646E+2	4,390625E+2	1,112726E+2	4,390625E+2	1,155562E+2
4,406250E+2	6,523499E+1	4,406250E+2	7,576302E+1	4,406250E+2	8,531247E+1	4,406250E+2	9,600927E+1	4,406250E+2	1,062825E+2	4,406250E+2	1,115264E+2	4,406250E+2	1,155108E+2
4,421875E+2	6,607460E+1	4,421875E+2	7,606082E+1	4,421875E+2	8,616435E+1	4,421875E+2	9,577738E+1	4,421875E+2	1,061695E+2	4,421875E+2	1,110264E+2	4,421875E+2	1,156907E+2
4,437500E+2	6,665904E+1	4,437500E+2	7,620066E+1	4,437500E+2	8,642436E+1	4,437500E+2	9,622970E+1	4,437500E+2	1,070289E+2	4,437500E+2	1,114136E+2	4,437500E+2	1,161836E+2
4,453125E+2	6,694123E+1	4,453125E+2	7,678182E+1	4,453125E+2	8,708063E+1	4,453125E+2	9,567252E+1	4,453125E+2	1,064976E+2	4,453125E+2	1,122906E+2	4,453125E+2	1,163802E+2
4,468750E+2	6,653551E+1	4,468750E+2	7,695180E+1	4,468750E+2	8,675589E+1	4,468750E+2	9,628252E+1	4,468750E+2	1,066301E+2	4,468750E+2	1,132712E+2	4,468750E+2	1,164426E+2
4,484375E+2	6,732812E+1	4,484375E+2	7,749781E+1	4,484375E+2	8,730667E+1	4,484375E+2	9,755133E+1	4,484375E+2	1,071758E+2	4,484375E+2	1,123094E+2	4,484375E+2	1,171470E+2
4,500000E+2	6,821053E+1	4,500000E+2	7,782186E+1	4,500000E+2	8,798866E+1	4,500000E+2	9,778143E+1	4,500000E+2	1,075978E+2	4,500000E+2	1,122178E+2	4,500000E+2	1,172771E+2
4,515625E+2	6,763253E+1	4,515625E+2	7,757382E+1	4,515625E+2	8,874822E+1	4,515625E+2	9,869996E+1	4,515625E+2	1,075328E+2	4,515625E+2	1,133708E+2	4,515625E+2	1,174750E+2
4,531250E+2	6,848494E+1	4,531250E+2	7,617202E+1	4,531250E+2	8,825317E+1	4,531250E+2	9,864375E+1	4,531250E+2	1,070225E+2	4,531250E+2	1,135982E+2	4,531250E+2	1,177445E+2
4,546875E+2	6,852917E+1	4,546875E+2	7,758496E+1	4,546875E+2	8,819377E+1	4,546875E+2	9,878300E+1	4,546875E+2	1,087587E+2	4,546875E+2	1,146163E+2	4,546875E+2	1,168001E+2
4,562500E+2	6,897095E+1	4,562500E+2	7,805868E+1	4,562500E+2	8,758408E+1	4,562500E+2	9,823463E+1	4,562500E+2	1,091901E+2	4,562500E+2	1,143328E+2	4,562500E+2	1,166579E+2
4,578125E+2	6,851308E+1	4,578125E+2	7,762212E+1	4,578125E+2	8,726484E+1	4,578125E+2	9,826788E+1	4,578125E+2	1,085821E+2	4,578125E+2	1,132961E+2	4,578125E+2	1,169870E+2
4,593750E+2	6,904613E+1	4,593750E+2	7,871277E+1	4,593750E+2	8,819004E+1	4,593750E+2	9,897290E+1	4,593750E+2	1,088652E+2	4,593750E+2	1,123807E+2	4,593750E+2	1,184005E+2
4,609375E+2	6,917980E+1	4,609375E+2	7,996296E+1	4,609375E+2	8,860879E+1	4,609375E+2	1,005719E+2	4,609375E+2	1,090406E+2	4,609375E+2	1,130746E+2	4,609375E+2	1,181935E+2
4,625000E+2	6,828582E+1	4,625000E+2	7,983569E+1	4,625000E+2	8,883608E+1	4,625000E+2	9,887718E+1	4,625000E+2	1,079833E+2	4,625000E+2	1,138997E+2	4,625000E+2	1,182067E+2
4,640625E+2	6,836607E+1	4,640625E+2	7,875126E+1	4,640625E+2	8,857893E+1	4,640625E+2	9,792207E+1	4,640625E+2	1,081318E+2	4,640625E+2	1,139534E+2	4,640625E+2	1,178937E+2
4,656250E+2	6,898665E+1	4,656250E+2	7,946784E+1	4,656250E+2	8,855227E+1	4,656250E+2	9,894502E+1	4,656250E+2	1,084188E+2	4,656250E+2	1,136584E+2	4,656250E+2	1,178486E+2
4,671875E+2	6,838139E+1	4,671875E+2	7,852483E+1	4,671875E+2	8,886219E+1	4,671875E+2	9,965430E+1	4,671875E+2	1,085799E+2	4,671875E+2	1,139758E+2	4,671875E+2	1,174208E+2
4,687500E+2	6,781947E+1	4,687500E+2	7,811396E+1	4,687500E+2	8,906592E+1	4,687500E+2	9,858699E+1	4,687500E+2	1,080042E+2	4,687500E+2	1,130799E+2	4,687500E+2	1,168811E+2
4,703125E+2	6,938289E+1	4,703125E+2	7,773515E+1	4,703125E+2	8,792492E+1	4,703125E+2	9,825370E+1	4,703125E+2	1,079941E+2	4,703125E+2	1,130700E+2	4,703125E+2	1,161885E+2
4,718750E+2	6,865336E+1	4,718750E+2	7,831732E+1	4,718750E+2	8,800103E+1	4,718750E+2	9,833737E+1	4,718750E+2	1,081209E+2	4,718750E+2	1,129725E+2	4,718750E+2	1,171832E+2
4,734375E+2	6,854192E+1	4,734375E+2	7,838047E+1	4,734375E+2	8,878053E+1	4,734375E+2	9,768782E+1	4,734375E+2	1,077994E+2	4,734375E+2	1,133832E+2	4,734375E+2	1,165267E+2
4,750000E+2	6,923192E+1	4,750000E+2	7,815147E+1	4,750000E+2	8,794419E+1	4,750000E+2	9,753852E+1	4,750000E+2	1,074339E+2	4,750000E+2	1,126538E+2	4,750000E+2	1,170232E+2
4,765625E+2	6,851801E+1	4,765625E+2	7,820861E+1	4,765625E+2	8,790366E+1	4,765625E+2	9,723908E+1	4,765625E+2	1,075926E+2	4,765625E+2	1,117383E+2	4,765625E+2	1,172847E+2
4,781250E+2	6,883308E+1	4,781250E+2	7,833023E+1	4,781250E+2	8,832666E+1	4,781250E+2	9,832934E+1	4,781250E+2	1,078250E+2	4,781250E+2	1,126228E+2	4,781250E+2	1,171994E+2
