Sample 1_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 2_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 3_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 4_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 5_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 6_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 8_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 9_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 10_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 11_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 12_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 13_Frequency [Hz]	Absorption Coefficient on Cavity	
3,671875E+2	3,521110E-1	3,671875E+2	4,267554E-1	3,671875E+2	4,581774E-1	3,671875E+2	3,917346E-1	3,671875E+2	3,137865E-1	3,671875E+2	2,931688E-1	3,671875E+2	3,135904E-1	3,671875E+2	3,345606E-1	3,671875E+2	4,281653E-1	3,671875E+2	4,507625E-1	3,671875E+2	3,782885E-1	3,671875E+2	3,434887E-1
3,687500E+2	3,482483E-1	3,687500E+2	4,217863E-1	3,687500E+2	4,580249E-1	3,687500E+2	4,004245E-1	3,687500E+2	3,142139E-1	3,687500E+2	2,940157E-1	3,687500E+2	3,110242E-1	3,687500E+2	3,311452E-1	3,687500E+2	4,241784E-1	3,687500E+2	4,501823E-1	3,687500E+2	3,795520E-1	3,687500E+2	3,449347E-1
3,703125E+2	3,440515E-1	3,703125E+2	4,162945E-1	3,703125E+2	4,570669E-1	3,703125E+2	4,020143E-1	3,703125E+2	3,147732E-1	3,703125E+2	2,949092E-1	3,703125E+2	3,096741E-1	3,703125E+2	3,282703E-1	3,703125E+2	4,200594E-1	3,703125E+2	4,492438E-1	3,703125E+2	3,808666E-1	3,703125E+2	3,464504E-1
3,718750E+2	3,396127E-1	3,718750E+2	4,105363E-1	3,718750E+2	4,559632E-1	3,718750E+2	4,035044E-1	3,718750E+2	3,153064E-1	3,718750E+2	2,957751E-1	3,718750E+2	3,081011E-1	3,718750E+2	3,251583E-1	3,718750E+2	4,156909E-1	3,718750E+2	4,481583E-1	3,718750E+2	3,820782E-1	3,718750E+2	3,478674E-1
3,734375E+2	3,350769E-1	3,734375E+2	4,060681E-1	3,734375E+2	4,548217E-1	3,734375E+2	4,045260E-1	3,734375E+2	3,263284E-1	3,734375E+2	3,053860E-1	3,734375E+2	3,051790E-1	3,734375E+2	3,228344E-1	3,734375E+2	4,119918E-1	3,734375E+2	4,478546E-1	3,734375E+2	3,834537E-1	3,734375E+2	3,495446E-1
3,750000E+2	3,302585E-1	3,750000E+2	4,013987E-1	3,750000E+2	4,535857E-1	3,750000E+2	4,054764E-1	3,750000E+2	3,366785E-1	3,750000E+2	3,142827E-1	3,750000E+2	3,019925E-1	3,750000E+2	3,203127E-1	3,750000E+2	4,080748E-1	3,750000E+2	4,474389E-1	3,750000E+2	3,847243E-1	3,750000E+2	3,511219E-1
3,765625E+2	3,260713E-1	3,765625E+2	3,972202E-1	3,765625E+2	4,513372E-1	3,765625E+2	4,065191E-1	3,765625E+2	3,378457E-1	3,765625E+2	3,152758E-1	3,765625E+2	2,979060E-1	3,765625E+2	3,185409E-1	3,765625E+2	4,044410E-1	3,765625E+2	4,469906E-1	3,765625E+2	3,859718E-1	3,765625E+2	3,526823E-1
3,781250E+2	3,216305E-1	3,781250E+2	3,928547E-1	3,781250E+2	4,489503E-1	3,781250E+2	4,074889E-1	3,781250E+2	3,389539E-1	3,781250E+2	3,162154E-1	3,781250E+2	2,936199E-1	3,781250E+2	3,166050E-1	3,781250E+2	4,006107E-1	3,781250E+2	4,464255E-1	3,781250E+2	3,871152E-1	3,781250E+2	3,541430E-1
3,796875E+2	3,180755E-1	3,796875E+2	3,883574E-1	3,796875E+2	4,469856E-1	3,796875E+2	4,092226E-1	3,796875E+2	3,408002E-1	3,796875E+2	3,177918E-1	3,796875E+2	2,913872E-1	3,796875E+2	3,151810E-1	3,796875E+2	3,954380E-1	3,796875E+2	4,456092E-1	3,796875E+2	3,882060E-1	3,796875E+2	3,555149E-1
3,812500E+2	3,143012E-1	3,812500E+2	3,836575E-1	3,812500E+2	4,448942E-1	3,812500E+2	4,108477E-1	3,812500E+2	3,425532E-1	3,812500E+2	3,192969E-1	3,812500E+2	2,890196E-1	3,812500E+2	3,136207E-1	3,812500E+2	3,899853E-1	3,812500E+2	4,446735E-1	3,812500E+2	3,891920E-1	3,812500E+2	3,567855E-1
3,828125E+2	3,113722E-1	3,828125E+2	3,789265E-1	3,828125E+2	4,428479E-1	3,828125E+2	4,127306E-1	3,828125E+2	3,456101E-1	3,828125E+2	3,226461E-1	3,828125E+2	2,866558E-1	3,828125E+2	3,106325E-1	3,828125E+2	3,865162E-1	3,828125E+2	4,438545E-1	3,828125E+2	3,904858E-1	3,828125E+2	3,583757E-1
3,843750E+2	3,082455E-1	3,843750E+2	3,739749E-1	3,843750E+2	4,406621E-1	3,843750E+2	4,145014E-1	3,843750E+2	3,485401E-1	3,843750E+2	3,258429E-1	3,843750E+2	2,841138E-1	3,843750E+2	3,074330E-1	3,843750E+2	3,828823E-1	3,843750E+2	4,429148E-1	3,843750E+2	3,916746E-1	3,843750E+2	3,598638E-1
3,859375E+2	3,043871E-1	3,859375E+2	3,675474E-1	3,859375E+2	4,387361E-1	3,859375E+2	4,159112E-1	3,859375E+2	3,510589E-1	3,859375E+2	3,284956E-1	3,859375E+2	2,779986E-1	3,859375E+2	3,044943E-1	3,859375E+2	3,795638E-1	3,859375E+2	4,423391E-1	3,859375E+2	3,930443E-1	3,859375E+2	3,615721E-1
