Sample 1_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 2_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 3_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 4_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 5_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 6_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 8_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 9_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 10_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 11_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 12_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 13_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	
3,531250E+2	9,962721E+1	3,531250E+2	1,097849E+2	3,531250E+2	1,198977E+2	3,531250E+2	1,304745E+2	3,531250E+2	1,387486E+2	3,531250E+2	1,439057E+2	3,531250E+2	8,834575E+1	3,531250E+2	9,886976E+1	3,531250E+2	1,106723E+2	3,531250E+2	1,219685E+2	3,531250E+2	1,322273E+2	3,531250E+2	1,371370E+2
3,546875E+2	9,958442E+1	3,546875E+2	1,098244E+2	3,546875E+2	1,199797E+2	3,546875E+2	1,304400E+2	3,546875E+2	1,399564E+2	3,546875E+2	1,450176E+2	3,546875E+2	8,863503E+1	3,546875E+2	9,905515E+1	3,546875E+2	1,107669E+2	3,546875E+2	1,220937E+2	3,546875E+2	1,323818E+2	3,546875E+2	1,372975E+2
3,562500E+2	9,954141E+1	3,562500E+2	1,098638E+2	3,562500E+2	1,200610E+2	3,562500E+2	1,304053E+2	3,562500E+2	1,410166E+2	3,562500E+2	1,460032E+2	3,562500E+2	8,891497E+1	3,562500E+2	9,923667E+1	3,562500E+2	1,108605E+2	3,562500E+2	1,222171E+2	3,562500E+2	1,325336E+2	3,562500E+2	1,374550E+2
3,578125E+2	9,956598E+1	3,578125E+2	1,098989E+2	3,578125E+2	1,200537E+2	3,578125E+2	1,303176E+2	3,578125E+2	1,409559E+2	3,578125E+2	1,459405E+2	3,578125E+2	8,915901E+1	3,578125E+2	9,943193E+1	3,578125E+2	1,109672E+2	3,578125E+2	1,223381E+2	3,578125E+2	1,326699E+2	3,578125E+2	1,375994E+2
3,593750E+2	9,959047E+1	3,593750E+2	1,099339E+2	3,593750E+2	1,200464E+2	3,593750E+2	1,302289E+2	3,593750E+2	1,408947E+2	3,593750E+2	1,458773E+2	3,593750E+2	8,939639E+1	3,593750E+2	9,962291E+1	3,593750E+2	1,110727E+2	3,593750E+2	1,224574E+2	3,593750E+2	1,328042E+2	3,593750E+2	1,377415E+2
3,609375E+2	9,968544E+1	3,609375E+2	1,099518E+2	3,609375E+2	1,200027E+2	3,609375E+2	1,300891E+2	3,609375E+2	1,407733E+2	3,609375E+2	1,457494E+2	3,609375E+2	8,961243E+1	3,609375E+2	9,982560E+1	3,609375E+2	1,111870E+2	3,609375E+2	1,225763E+2	3,609375E+2	1,329155E+2	3,609375E+2	1,378575E+2
3,625000E+2	9,977938E+1	3,625000E+2	1,099696E+2	3,625000E+2	1,199587E+2	3,625000E+2	1,299469E+2	3,625000E+2	1,406502E+2	3,625000E+2	1,456196E+2	3,625000E+2	8,982322E+1	3,625000E+2	1,000237E+2	3,625000E+2	1,112999E+2	3,625000E+2	1,226935E+2	3,625000E+2	1,330254E+2	3,625000E+2	1,379720E+2
3,640625E+2	9,982816E+1	3,640625E+2	1,099673E+2	3,640625E+2	1,199413E+2	3,640625E+2	1,297728E+2	3,640625E+2	1,404600E+2	3,640625E+2	1,454303E+2	3,640625E+2	9,001005E+1	3,640625E+2	1,002253E+2	3,640625E+2	1,114154E+2	3,640625E+2	1,228002E+2	3,640625E+2	1,331555E+2	3,640625E+2	1,381080E+2
3,656250E+2	9,987666E+1	3,656250E+2	1,099650E+2	3,656250E+2	1,199238E+2	3,656250E+2	1,295952E+2	3,656250E+2	1,402656E+2	3,656250E+2	1,452367E+2	3,656250E+2	9,019295E+1	3,656250E+2	1,004223E+2	3,656250E+2	1,115294E+2	3,656250E+2	1,229056E+2	3,656250E+2	1,332837E+2	3,656250E+2	1,382419E+2
3,671875E+2	9,988681E+1	3,671875E+2	1,099607E+2	3,671875E+2	1,199652E+2	3,671875E+2	1,298215E+2	3,671875E+2	1,400075E+2	3,671875E+2	1,449784E+2	3,671875E+2	9,038817E+1	3,671875E+2	1,006255E+2	3,671875E+2	1,116521E+2	3,671875E+2	1,230032E+2	3,671875E+2	1,333802E+2	3,671875E+2	1,383431E+2
