Sample 1_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 2_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 3_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 4_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 5_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 6_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 7_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	
4,000000E+2	5,718170E+1	4,000000E+2	6,757221E+1	4,000000E+2	7,971342E+1	4,000000E+2	9,136687E+1	4,000000E+2	9,984233E+1	4,000000E+2	1,048127E+2	4,000000E+2	1,068685E+2
4,015625E+2	5,590447E+1	4,015625E+2	6,798626E+1	4,015625E+2	7,996211E+1	4,015625E+2	9,196035E+1	4,015625E+2	1,009098E+2	4,015625E+2	1,051412E+2	4,015625E+2	1,089348E+2
4,031250E+2	5,777889E+1	4,031250E+2	6,827734E+1	4,031250E+2	7,967239E+1	4,031250E+2	9,119555E+1	4,031250E+2	1,006278E+2	4,031250E+2	1,054596E+2	4,031250E+2	1,107667E+2
4,046875E+2	5,852271E+1	4,046875E+2	6,776975E+1	4,046875E+2	7,854763E+1	4,046875E+2	9,100318E+1	4,046875E+2	1,008180E+2	4,046875E+2	1,055087E+2	4,046875E+2	1,102041E+2
4,062500E+2	5,758433E+1	4,062500E+2	6,845593E+1	4,062500E+2	7,913559E+1	4,062500E+2	9,076365E+1	4,062500E+2	1,003455E+2	4,062500E+2	1,069435E+2	4,062500E+2	1,103453E+2
4,078125E+2	5,660914E+1	4,078125E+2	6,660952E+1	4,078125E+2	7,895189E+1	4,078125E+2	9,134749E+1	4,078125E+2	1,002002E+2	4,078125E+2	1,068627E+2	4,078125E+2	1,105193E+2
4,093750E+2	5,773343E+1	4,093750E+2	6,733067E+1	4,093750E+2	7,930865E+1	4,093750E+2	9,123984E+1	4,093750E+2	1,019931E+2	4,093750E+2	1,064157E+2	4,093750E+2	1,102466E+2
4,109375E+2	5,725893E+1	4,109375E+2	6,822571E+1	4,109375E+2	8,002558E+1	4,109375E+2	9,087499E+1	4,109375E+2	1,027448E+2	4,109375E+2	1,067333E+2	4,109375E+2	1,101710E+2
4,125000E+2	5,862707E+1	4,125000E+2	6,883487E+1	4,125000E+2	8,002550E+1	4,125000E+2	9,182749E+1	4,125000E+2	1,023454E+2	4,125000E+2	1,054310E+2	4,125000E+2	1,107646E+2
4,140625E+2	5,759856E+1	4,140625E+2	6,898072E+1	4,140625E+2	8,045055E+1	4,140625E+2	9,157503E+1	4,140625E+2	1,023591E+2	4,140625E+2	1,065196E+2	4,140625E+2	1,106313E+2
