Sample 2_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 3_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 4_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 5_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 6_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 7_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 8_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 9_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 10_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 11_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 12_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 13_Frequency [Hz]	Absorption Coefficient on Cavity	
3,531250E+2	3,811232E-1	3,531250E+2	3,907446E-1	3,531250E+2	4,097832E-1	3,531250E+2	4,956776E-1	3,531250E+2	6,280907E-1	3,531250E+2	6,311285E-1	3,531250E+2	3,917972E-1	3,531250E+2	4,074890E-1	3,531250E+2	4,163633E-1	3,531250E+2	4,699759E-1	3,531250E+2	5,991538E-1	3,531250E+2	6,439297E-1
3,546875E+2	3,879704E-1	3,546875E+2	3,975861E-1	3,546875E+2	4,173706E-1	3,546875E+2	5,021645E-1	3,546875E+2	6,334646E-1	3,546875E+2	6,363226E-1	3,546875E+2	3,974308E-1	3,546875E+2	4,139969E-1	3,546875E+2	4,239833E-1	3,546875E+2	4,778601E-1	3,546875E+2	6,058907E-1	3,546875E+2	6,493205E-1
3,562500E+2	3,944853E-1	3,562500E+2	4,041015E-1	3,562500E+2	4,246045E-1	3,562500E+2	5,083577E-1	3,562500E+2	6,386231E-1	3,562500E+2	6,413395E-1	3,562500E+2	4,027395E-1	3,562500E+2	4,201644E-1	3,562500E+2	4,312493E-1	3,562500E+2	4,853999E-1	3,562500E+2	6,123727E-1	3,562500E+2	6,545249E-1
3,578125E+2	4,002778E-1	3,578125E+2	4,104289E-1	3,578125E+2	4,317030E-1	3,578125E+2	5,146197E-1	3,578125E+2	6,434635E-1	3,578125E+2	6,458171E-1	3,578125E+2	4,120554E-1	3,578125E+2	4,280135E-1	3,578125E+2	4,386350E-1	3,578125E+2	4,928184E-1	3,578125E+2	6,187378E-1	3,578125E+2	6,593922E-1
3,593750E+2	4,057282E-1	3,593750E+2	4,164647E-1	3,593750E+2	4,384476E-1	3,593750E+2	5,205815E-1	3,593750E+2	6,480953E-1	3,593750E+2	6,501257E-1	3,593750E+2	4,209499E-1	3,593750E+2	4,354346E-1	3,593750E+2	4,456459E-1	3,593750E+2	4,998914E-1	3,593750E+2	6,248503E-1	3,593750E+2	6,640831E-1
3,609375E+2	4,116167E-1	3,609375E+2	4,249029E-1	3,609375E+2	4,454721E-1	3,609375E+2	5,271105E-1	3,609375E+2	6,530340E-1	3,609375E+2	6,544441E-1	3,609375E+2	4,308342E-1	3,609375E+2	4,437469E-1	3,609375E+2	4,528836E-1	3,609375E+2	5,075254E-1	3,609375E+2	6,312117E-1	3,609375E+2	6,688180E-1
3,625000E+2	4,171759E-1	3,625000E+2	4,329289E-1	3,625000E+2	4,521357E-1	3,625000E+2	5,333121E-1	3,625000E+2	6,577542E-1	3,625000E+2	6,585906E-1	3,625000E+2	4,402799E-1	3,625000E+2	4,516153E-1	3,625000E+2	4,597297E-1	3,625000E+2	5,147890E-1	3,625000E+2	6,373153E-1	3,625000E+2	6,733794E-1
3,640625E+2	4,276900E-1	3,640625E+2	4,424921E-1	3,640625E+2	4,591259E-1	3,640625E+2	5,399660E-1	3,640625E+2	6,628176E-1	3,640625E+2	6,628762E-1	3,640625E+2	4,467234E-1	3,640625E+2	4,587497E-1	3,640625E+2	4,670537E-1	3,640625E+2	5,226610E-1	3,640625E+2	6,438419E-1	3,640625E+2	6,782488E-1
3,656250E+2	4,376995E-1	3,656250E+2	4,515345E-1	3,656250E+2	4,657371E-1	3,656250E+2	5,462834E-1	3,656250E+2	6,676558E-1	3,656250E+2	6,669891E-1	3,656250E+2	4,528379E-1	3,656250E+2	4,654655E-1	3,656250E+2	4,739632E-1	3,656250E+2	5,301340E-1	3,656250E+2	6,500938E-1	3,656250E+2	6,829346E-1
3,671875E+2	4,480247E-1	3,671875E+2	4,592934E-1	3,671875E+2	4,728624E-1	3,671875E+2	5,530302E-1	3,671875E+2	6,727160E-1	3,671875E+2	6,711819E-1	3,671875E+2	4,593319E-1	3,671875E+2	4,714335E-1	3,671875E+2	4,815606E-1	3,671875E+2	5,380163E-1	3,671875E+2	6,565760E-1	3,671875E+2	6,877414E-1
