Sample 2_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 3_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 4_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 5_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 6_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 7_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 8_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 9_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 10_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 11_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 12_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 13_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	
3,593750E+2	9,998926E+1	3,593750E+2	1,099901E+2	3,593750E+2	1,200126E+2	3,593750E+2	1,300001E+2	3,593750E+2	1,400046E+2	3,593750E+2	1,449884E+2	3,593750E+2	9,747924E+1	3,593750E+2	1,074510E+2	3,593750E+2	1,174198E+2	3,593750E+2	1,271904E+2	3,593750E+2	1,366461E+2	3,593750E+2	1,411364E+2
3,609375E+2	9,998181E+1	3,609375E+2	1,099862E+2	3,609375E+2	1,200117E+2	3,609375E+2	1,300005E+2	3,609375E+2	1,400054E+2	3,609375E+2	1,449874E+2	3,609375E+2	9,755077E+1	3,609375E+2	1,075427E+2	3,609375E+2	1,175053E+2	3,609375E+2	1,272707E+2	3,609375E+2	1,367149E+2	3,609375E+2	1,411990E+2
3,625000E+2	9,997435E+1	3,625000E+2	1,099822E+2	3,625000E+2	1,200108E+2	3,625000E+2	1,300010E+2	3,625000E+2	1,400062E+2	3,625000E+2	1,449864E+2	3,625000E+2	9,762172E+1	3,625000E+2	1,076335E+2	3,625000E+2	1,175900E+2	3,625000E+2	1,273503E+2	3,625000E+2	1,367832E+2	3,625000E+2	1,412612E+2
3,640625E+2	9,996695E+1	3,640625E+2	1,099896E+2	3,640625E+2	1,200083E+2	3,640625E+2	1,299997E+2	3,640625E+2	1,400072E+2	3,640625E+2	1,449872E+2	3,640625E+2	9,768299E+1	3,640625E+2	1,077228E+2	3,640625E+2	1,176745E+2	3,640625E+2	1,274304E+2	3,640625E+2	1,368522E+2	3,640625E+2	1,413246E+2
3,656250E+2	9,995954E+1	3,656250E+2	1,099970E+2	3,656250E+2	1,200057E+2	3,656250E+2	1,299985E+2	3,656250E+2	1,400082E+2	3,656250E+2	1,449881E+2	3,656250E+2	9,774383E+1	3,656250E+2	1,078111E+2	3,656250E+2	1,177582E+2	3,656250E+2	1,275098E+2	3,656250E+2	1,369208E+2	3,656250E+2	1,413875E+2
3,671875E+2	9,995711E+1	3,671875E+2	1,100083E+2	3,671875E+2	1,200008E+2	3,671875E+2	1,299972E+2	3,671875E+2	1,400080E+2	3,671875E+2	1,449886E+2	3,671875E+2	9,781461E+1	3,671875E+2	1,079015E+2	3,671875E+2	1,178432E+2	3,671875E+2	1,275893E+2	3,671875E+2	1,369886E+2	3,671875E+2	1,414494E+2
3,687500E+2	9,995469E+1	3,687500E+2	1,100196E+2	3,687500E+2	1,199959E+2	3,687500E+2	1,299959E+2	3,687500E+2	1,400078E+2	3,687500E+2	1,449891E+2	3,687500E+2	9,788482E+1	3,687500E+2	1,079909E+2	3,687500E+2	1,179274E+2	3,687500E+2	1,276680E+2	3,687500E+2	1,370560E+2	3,687500E+2	1,415109E+2
3,703125E+2	9,995202E+1	3,703125E+2	1,100205E+2	3,703125E+2	1,199939E+2	3,703125E+2	1,299984E+2	3,703125E+2	1,400059E+2	3,703125E+2	1,449894E+2	3,703125E+2	9,798752E+1	3,703125E+2	1,080800E+2	3,703125E+2	1,180127E+2	3,703125E+2	1,277473E+2	3,703125E+2	1,371229E+2	3,703125E+2	1,415704E+2
3,718750E+2	9,994935E+1	3,718750E+2	1,100214E+2	3,718750E+2	1,199918E+2	3,718750E+2	1,300008E+2	3,718750E+2	1,400039E+2	3,718750E+2	1,449897E+2	3,718750E+2	9,808902E+1	3,718750E+2	1,081682E+2	3,718750E+2	1,180972E+2	3,718750E+2	1,278259E+2	3,718750E+2	1,371893E+2	3,718750E+2	1,416296E+2
3,734375E+2	9,994789E+1	3,734375E+2	1,100114E+2	3,734375E+2	1,199928E+2	3,734375E+2	1,300010E+2	3,734375E+2	1,400044E+2	3,734375E+2	1,449892E+2	3,734375E+2	9,820825E+1	3,734375E+2	1,082617E+2	3,734375E+2	1,181844E+2	3,734375E+2	1,279052E+2	3,734375E+2	1,372553E+2	3,734375E+2	1,416889E+2
