Sample 2_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	
8,781250E+2	9,999652E+1
8,796875E+2	9,999852E+1
8,812500E+2	1,000005E+2
8,828125E+2	9,999771E+1
8,843750E+2	9,999489E+1
8,859375E+2	9,998930E+1
8,875000E+2	9,998371E+1
8,890625E+2	9,998648E+1
8,906250E+2	9,998925E+1
8,921875E+2	9,999081E+1
8,937500E+2	9,999238E+1
8,953125E+2	9,999310E+1
8,968750E+2	9,999382E+1
8,984375E+2	9,999378E+1
9,000000E+2	9,999374E+1
9,015625E+2	9,999346E+1
9,031250E+2	9,999317E+1
9,046875E+2	9,999325E+1
9,062500E+2	9,999333E+1
9,078125E+2	9,999329E+1
9,093750E+2	9,999325E+1
9,109375E+2	9,999308E+1
9,125000E+2	9,999291E+1
9,140625E+2	9,999349E+1
9,156250E+2	9,999407E+1
9,171875E+2	9,999450E+1
9,187500E+2	9,999493E+1
9,203125E+2	9,999375E+1
9,218750E+2	9,999256E+1
9,234375E+2	9,999354E+1
9,250000E+2	9,999451E+1
9,265625E+2	9,999391E+1
9,281250E+2	9,999332E+1
9,296875E+2	9,999371E+1
9,312500E+2	9,999411E+1
9,328125E+2	9,999449E+1
9,343750E+2	9,999487E+1
9,359375E+2	9,999474E+1
9,375000E+2	9,999462E+1
9,390625E+2	9,999365E+1
9,406250E+2	9,999268E+1
9,421875E+2	9,999354E+1
9,437500E+2	9,999440E+1
9,453125E+2	9,999471E+1
9,468750E+2	9,999502E+1
9,484375E+2	9,999406E+1
9,500000E+2	9,999310E+1
9,515625E+2	9,997360E+1
9,531250E+2	9,995406E+1
9,546875E+2	9,996857E+1
9,562500E+2	9,998307E+1
9,578125E+2	9,998663E+1
9,593750E+2	9,999019E+1
9,609375E+2	1,000022E+2
9,625000E+2	1,000142E+2
9,640625E+2	9,998345E+1
9,656250E+2	9,995255E+1
9,671875E+2	9,998409E+1
9,687500E+2	1,000155E+2
9,703125E+2	1,000056E+2
9,718750E+2	9,999560E+1
9,734375E+2	9,999012E+1
9,750000E+2	9,998463E+1
9,765625E+2	1,000063E+2
9,781250E+2	1,000280E+2
9,796875E+2	9,996741E+1
9,812500E+2	9,990642E+1
9,828125E+2	9,998941E+1
9,843750E+2	1,000716E+2
9,859375E+2	9,997747E+1
9,875000E+2	9,988229E+1
9,890625E+2	9,996242E+1
9,906250E+2	1,000418E+2
9,921875E+2	1,000117E+2
9,937500E+2	9,998151E+1
9,953125E+2	9,998858E+1
9,968750E+2	9,999565E+1
9,984375E+2	9,999546E+1
1,000000E+3	9,999527E+1
1,001562E+3	9,998877E+1
1,003125E+3	9,998228E+1
1,004687E+3	9,999987E+1
1,006250E+3	1,000174E+2
1,007812E+3	9,998437E+1
1,009375E+3	9,995118E+1
1,010937E+3	9,998331E+1
1,012500E+3	1,000153E+2
1,014062E+3	9,999588E+1
1,015625E+3	9,997639E+1
1,017187E+3	9,999030E+1
1,018750E+3	1,000042E+2
1,020312E+3	9,999472E+1
1,021875E+3	9,998525E+1
1,023437E+3	9,999127E+1
1,025000E+3	9,999729E+1
1,026562E+3	9,999633E+1
1,028125E+3	9,999537E+1
1,029687E+3	9,999187E+1
1,031250E+3	9,998837E+1
1,032812E+3	9,999231E+1
