Sample 1_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 2_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 3_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 4_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 5_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 6_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 7_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	
3,750000E+2	6,337526E+1	3,750000E+2	7,354908E+1	3,750000E+2	8,369091E+1	3,750000E+2	9,223646E+1	3,750000E+2	1,009368E+2	3,750000E+2	1,060319E+2	3,750000E+2	1,098998E+2
3,765625E+2	6,366605E+1	3,765625E+2	7,228014E+1	3,765625E+2	8,336717E+1	3,765625E+2	9,260806E+1	3,765625E+2	1,011636E+2	3,765625E+2	1,050930E+2	3,765625E+2	1,096853E+2
3,781250E+2	6,310812E+1	3,781250E+2	7,262840E+1	3,781250E+2	8,334094E+1	3,781250E+2	9,238770E+1	3,781250E+2	1,009464E+2	3,781250E+2	1,054675E+2	3,781250E+2	1,093230E+2
3,796875E+2	6,416744E+1	3,796875E+2	7,388784E+1	3,796875E+2	8,408047E+1	3,796875E+2	9,192450E+1	3,796875E+2	1,014268E+2	3,796875E+2	1,051329E+2	3,796875E+2	1,099234E+2
3,812500E+2	6,394569E+1	3,812500E+2	7,413307E+1	3,812500E+2	8,422062E+1	3,812500E+2	9,304205E+1	3,812500E+2	1,027792E+2	3,812500E+2	1,056459E+2	3,812500E+2	1,100987E+2
3,828125E+2	6,271428E+1	3,828125E+2	7,355588E+1	3,828125E+2	8,413496E+1	3,828125E+2	9,357474E+1	3,828125E+2	1,021963E+2	3,828125E+2	1,060521E+2	3,828125E+2	1,101545E+2
3,843750E+2	6,332759E+1	3,843750E+2	7,389323E+1	3,843750E+2	8,458620E+1	3,843750E+2	9,396461E+1	3,843750E+2	1,018734E+2	3,843750E+2	1,055721E+2	3,843750E+2	1,107224E+2
3,859375E+2	6,358712E+1	3,859375E+2	7,354750E+1	3,859375E+2	8,427560E+1	3,859375E+2	9,325876E+1	3,859375E+2	1,022152E+2	3,859375E+2	1,049623E+2	3,859375E+2	1,102252E+2
3,875000E+2	6,364420E+1	3,875000E+2	7,505848E+1	3,875000E+2	8,462492E+1	3,875000E+2	9,321837E+1	3,875000E+2	1,015692E+2	3,875000E+2	1,061308E+2	3,875000E+2	1,098043E+2
3,890625E+2	6,491657E+1	3,890625E+2	7,572043E+1	3,890625E+2	8,553861E+1	3,890625E+2	9,432448E+1	3,890625E+2	1,028458E+2	3,890625E+2	1,066730E+2	3,890625E+2	1,102472E+2
3,906250E+2	6,541277E+1	3,906250E+2	7,585791E+1	3,906250E+2	8,447467E+1	3,906250E+2	9,487437E+1	3,906250E+2	1,025879E+2	3,906250E+2	1,072633E+2	3,906250E+2	1,095150E+2
3,921875E+2	6,525817E+1	3,921875E+2	7,547114E+1	3,921875E+2	8,524578E+1	3,921875E+2	9,445444E+1	3,921875E+2	1,021359E+2	3,921875E+2	1,072534E+2	3,921875E+2	1,099804E+2
3,937500E+2	6,545769E+1	3,937500E+2	7,553646E+1	3,937500E+2	8,677687E+1	3,937500E+2	9,452750E+1	3,937500E+2	1,029018E+2	3,937500E+2	1,076078E+2	3,937500E+2	1,093618E+2
3,953125E+2	6,698976E+1	3,953125E+2	7,507261E+1	3,953125E+2	8,520269E+1	3,953125E+2	9,562432E+1	3,953125E+2	1,036479E+2	3,953125E+2	1,076688E+2	3,953125E+2	1,102540E+2
3,968750E+2	6,629921E+1	3,968750E+2	7,647104E+1	3,968750E+2	8,569337E+1	3,968750E+2	9,550544E+1	3,968750E+2	1,035830E+2	3,968750E+2	1,073053E+2	3,968750E+2	1,095253E+2
3,984375E+2	6,695980E+1	3,984375E+2	7,711212E+1	3,984375E+2	8,718181E+1	3,984375E+2	9,579633E+1	3,984375E+2	1,043888E+2	3,984375E+2	1,073707E+2	3,984375E+2	1,104022E+2
4,000000E+2	6,642336E+1	4,000000E+2	7,786782E+1	4,000000E+2	8,640018E+1	4,000000E+2	9,585328E+1	4,000000E+2	1,043060E+2	4,000000E+2	1,066454E+2	4,000000E+2	1,115406E+2
4,015625E+2	6,660210E+1	4,015625E+2	7,833549E+1	4,015625E+2	8,583820E+1	4,015625E+2	9,674337E+1	4,015625E+2	1,030953E+2	4,015625E+2	1,085085E+2	4,015625E+2	1,115147E+2
4,031250E+2	6,748413E+1	4,031250E+2	7,807549E+1	4,031250E+2	8,684996E+1	4,031250E+2	9,685870E+1	4,031250E+2	1,037167E+2	4,031250E+2	1,084305E+2	4,031250E+2	1,116779E+2
4,046875E+2	6,713792E+1	4,046875E+2	7,785265E+1	4,046875E+2	8,718608E+1	4,046875E+2	9,655146E+1	4,046875E+2	1,051391E+2	4,046875E+2	1,079396E+2	4,046875E+2	1,115554E+2
4,062500E+2	6,725239E+1	4,062500E+2	7,824715E+1	4,062500E+2	8,725129E+1	4,062500E+2	9,704885E+1	4,062500E+2	1,049389E+2	4,062500E+2	1,091440E+2	4,062500E+2	1,127057E+2
4,078125E+2	6,825645E+1	4,078125E+2	7,842338E+1	4,078125E+2	8,788014E+1	4,078125E+2	9,755764E+1	4,078125E+2	1,050663E+2	4,078125E+2	1,090945E+2	4,078125E+2	1,130229E+2
4,093750E+2	6,905021E+1	4,093750E+2	7,910545E+1	4,093750E+2	8,874033E+1	4,093750E+2	9,826483E+1	4,093750E+2	1,050855E+2	4,093750E+2	1,089612E+2	4,093750E+2	1,113921E+2
4,109375E+2	6,812735E+1	4,109375E+2	7,926725E+1	4,109375E+2	8,820686E+1	4,109375E+2	9,807062E+1	4,109375E+2	1,056616E+2	4,109375E+2	1,098652E+2	4,109375E+2	1,111614E+2
4,125000E+2	6,866299E+1	4,125000E+2	7,949335E+1	4,125000E+2	8,873478E+1	4,125000E+2	9,812197E+1	4,125000E+2	1,052873E+2	4,125000E+2	1,093680E+2	4,125000E+2	1,130224E+2
