Partie réelle               Partie imaginaire
531.491816157098            331.827312906397
531.501008667159            330.97994734139
531.5110226653            330.136168290532
531.521854539044            329.295957196819
531.533500682073            328.459295674199
531.545957494225            327.626165505639
531.559221381483            326.796548641232
531.573288755966            325.970427196313
531.588156035914            325.14778344961
531.603819645678            324.32859984142
531.620276015705            323.512858971806
531.63752158252            322.700543598819
531.655552788709            321.891636636749
531.674366082901            321.086121154388
531.69395791975            320.283980373332
531.714324759909            319.485197666287
531.735463070008            318.689756555418
531.757369322634            317.897640710699
531.780039996304            317.108833948301
531.803471575437            316.323320228996
531.827660550329            315.541083656575
531.852603417122            314.762108476298
531.878296677777            313.986379073355
531.904736840043            313.213879971356
531.931920417424            312.444595830827
531.959843929148            311.678511447743
531.988503900132            310.915611752063
532.017896860947            310.155881806297
532.048019347786            309.399306804081
532.078867902423            308.64587206878
532.110439072179            307.895563052097
532.142729409882            307.148365332713
532.17573547383            306.404264614933
532.20945382775            305.663246727358
532.243881040755            304.925297621562
532.279013687309            304.1904033708
532.314848347178            303.458550168721
532.351381605392            302.729724328103
532.388610052199            302.0039122796
532.426530283022            301.281100570506
532.465138898412            300.561275863536
532.504432504008            299.84442493562
532.544407710483            299.130534676711
532.585061133503            298.419592088611
532.626389393679            297.711584283804
532.668389116516            297.006498484315
532.711056932368            296.304322020573
532.754389476386            295.605042330288
532.798383388472            294.908646957349
532.843035313226            294.215123550726
532.888341899896            293.524459863394
532.934299802327            292.836643751263
532.980905678913            292.151663172121
533.028156192538            291.469506184597
533.07604801053            290.790160947127
533.124577804607            290.113615716936
533.173742250822            289.439858849033
533.22353802951            288.768878795219
533.273961825236            288.100664103099
533.325010326737            287.435203415114
533.376680226873            286.772485467584
533.428968222568            286.112499089751
533.481871014755            285.45523320285
533.535385308323            284.800676819173
533.58950781206            284.148819041161
533.644235238595            283.49964906049
533.699564304346            282.85315615718
533.75549172946            282.209329698707
533.812014237755            281.568159139129
533.869128556671            280.929634018216
533.926831417203            280.293743960598
533.98511955385            279.660478674916
534.043989704555            279.029827952985
534.103438610648            278.401781668967
534.163463016787            277.776329778549
534.224059670905            277.153462318137
534.285225324143            276.53316940405
534.346956730801            275.915441231734
534.409250648272            275.300268074974
534.47210383699            274.687640285117
534.535513060367            274.077548290311
534.599475084735            273.469982594742
534.663986679292            272.864933777885
534.729044616034            272.262392493761
534.794645669706            271.662349470203
534.860786617738            271.064795508129
534.927464240184            270.469721480826
534.994675319669            269.87711833323
535.062416641325            269.286977081234
535.130684992738            268.69928881098
