Sample 1 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 1 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 2 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 2 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 3 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 3 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 4 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 4 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	
3,656250E+2	1,713988E-1	3,656250E+2	-1,158290E+0	3,656250E+2	1,570337E-1	3,656250E+2	-1,181175E+0	3,656250E+2	1,624206E-1	3,656250E+2	-1,181703E+0	3,656250E+2	1,751295E-1	3,656250E+2	-1,190185E+0
3,671875E+2	1,063660E-1	3,671875E+2	-1,185367E+0	3,671875E+2	1,362405E-1	3,671875E+2	-1,178255E+0	3,671875E+2	1,489119E-1	3,671875E+2	-1,167420E+0	3,671875E+2	1,516821E-1	3,671875E+2	-1,167838E+0
3,687500E+2	1,648277E-1	3,687500E+2	-1,157782E+0	3,687500E+2	1,681485E-1	3,687500E+2	-1,151407E+0	3,687500E+2	1,884645E-1	3,687500E+2	-1,148342E+0	3,687500E+2	1,894440E-1	3,687500E+2	-1,150323E+0
3,703125E+2	1,983022E-1	3,703125E+2	-1,085011E+0	3,703125E+2	2,064038E-1	3,703125E+2	-1,093511E+0	3,703125E+2	2,068515E-1	3,703125E+2	-1,105289E+0	3,703125E+2	2,129740E-1	3,703125E+2	-1,107990E+0
3,718750E+2	2,070510E-1	3,718750E+2	-1,047696E+0	3,718750E+2	2,102654E-1	3,718750E+2	-1,063306E+0	3,718750E+2	1,970877E-1	3,718750E+2	-1,067290E+0	3,718750E+2	2,079438E-1	3,718750E+2	-1,059400E+0
3,734375E+2	1,765384E-1	3,734375E+2	-9,894377E-1	3,734375E+2	1,955317E-1	3,734375E+2	-1,033688E+0	3,734375E+2	1,984477E-1	3,734375E+2	-1,028175E+0	3,734375E+2	2,072372E-1	3,734375E+2	-1,028353E+0
3,750000E+2	1,303756E-1	3,750000E+2	-1,003496E+0	3,750000E+2	1,570076E-1	3,750000E+2	-1,004158E+0	3,750000E+2	1,805084E-1	3,750000E+2	-1,002373E+0	3,750000E+2	1,875382E-1	3,750000E+2	-1,003068E+0
3,765625E+2	1,273274E-1	3,765625E+2	-9,624684E-1	3,765625E+2	1,659472E-1	3,765625E+2	-9,697884E-1	3,765625E+2	1,787582E-1	3,765625E+2	-9,770560E-1	3,765625E+2	1,911735E-1	3,765625E+2	-9,723460E-1
3,781250E+2	1,325439E-1	3,781250E+2	-9,732761E-1	3,781250E+2	1,737313E-1	3,781250E+2	-9,568489E-1	3,781250E+2	1,596623E-1	3,781250E+2	-9,578571E-1	3,781250E+2	1,716340E-1	3,781250E+2	-9,501149E-1
3,796875E+2	1,520445E-1	3,796875E+2	-9,404691E-1	3,796875E+2	1,878971E-1	3,796875E+2	-9,021779E-1	3,796875E+2	1,804170E-1	3,796875E+2	-9,183172E-1	3,796875E+2	1,924824E-1	3,796875E+2	-9,192152E-1
3,812500E+2	2,034889E-1	3,812500E+2	-9,100207E-1	3,812500E+2	2,096175E-1	3,812500E+2	-8,735175E-1	3,812500E+2	2,057156E-1	3,812500E+2	-8,741047E-1	3,812500E+2	2,166087E-1	3,812500E+2	-8,827588E-1
3,828125E+2	2,344063E-1	3,828125E+2	-8,869640E-1	3,828125E+2	1,886827E-1	3,828125E+2	-8,702391E-1	3,828125E+2	2,007921E-1	3,828125E+2	-8,777996E-1	3,828125E+2	2,022810E-1	3,828125E+2	-8,734432E-1
3,843750E+2	2,137991E-1	3,843750E+2	-8,352112E-1	3,843750E+2	1,914035E-1	3,843750E+2	-8,538413E-1	3,843750E+2	1,964130E-1	3,843750E+2	-8,424589E-1	3,843750E+2	2,067125E-1	3,843750E+2	-8,469205E-1
3,859375E+2	1,963315E-1	3,859375E+2	-7,907483E-1	3,859375E+2	2,072205E-1	3,859375E+2	-8,195154E-1	3,859375E+2	2,078551E-1	3,859375E+2	-8,098336E-1	3,859375E+2	2,186635E-1	3,859375E+2	-8,103135E-1
3,875000E+2	1,717674E-1	3,875000E+2	-7,815976E-1	3,875000E+2	1,965727E-1	3,875000E+2	-7,850994E-1	3,875000E+2	1,972503E-1	3,875000E+2	-7,911539E-1	3,875000E+2	2,108704E-1	3,875000E+2	-7,906421E-1
3,890625E+2	1,815976E-1	3,890625E+2	-7,687251E-1	3,890625E+2	2,062056E-1	3,890625E+2	-7,657417E-1	3,890625E+2	2,101167E-1	3,890625E+2	-7,661990E-1	3,890625E+2	2,187208E-1	3,890625E+2	-7,710904E-1
3,906250E+2	1,898343E-1	3,906250E+2	-7,432456E-1	3,906250E+2	2,111842E-1	3,906250E+2	-7,311817E-1	3,906250E+2	2,103654E-1	3,906250E+2	-7,381578E-1	3,906250E+2	2,195412E-1	3,906250E+2	-7,333061E-1
3,921875E+2	2,007982E-1	3,921875E+2	-7,441636E-1	3,921875E+2	2,148307E-1	3,921875E+2	-7,138557E-1	3,921875E+2	2,057059E-1	3,921875E+2	-7,029613E-1	3,921875E+2	2,202639E-1	3,921875E+2	-7,076327E-1
3,937500E+2	2,188913E-1	3,937500E+2	-7,159079E-1	3,937500E+2	2,244775E-1	3,937500E+2	-6,840188E-1	3,937500E+2	2,164527E-1	3,937500E+2	-6,778991E-1	3,937500E+2	2,205225E-1	3,937500E+2	-6,778155E-1
3,953125E+2	2,173975E-1	3,953125E+2	-6,678940E-1	3,953125E+2	2,192214E-1	3,953125E+2	-6,549590E-1	3,953125E+2	2,168666E-1	3,953125E+2	-6,540148E-1	3,953125E+2	2,242794E-1	3,953125E+2	-6,580409E-1
3,968750E+2	2,216790E-1	3,968750E+2	-6,186727E-1	3,968750E+2	2,089196E-1	3,968750E+2	-6,241269E-1	3,968750E+2	2,089034E-1	3,968750E+2	-6,203914E-1	3,968750E+2	2,233224E-1	3,968750E+2	-6,251724E-1
3,984375E+2	2,160813E-1	3,984375E+2	-5,993983E-1	3,984375E+2	2,206856E-1	3,984375E+2	-6,011266E-1	3,984375E+2	2,213194E-1	3,984375E+2	-5,993606E-1	3,984375E+2	2,340213E-1	3,984375E+2	-5,989115E-1
4,000000E+2	2,168171E-1	4,000000E+2	-5,809340E-1	4,000000E+2	2,227158E-1	4,000000E+2	-5,745686E-1	4,000000E+2	2,296683E-1	4,000000E+2	-5,710986E-1	4,000000E+2	2,341826E-1	4,000000E+2	-5,722891E-1
4,015625E+2	2,313410E-1	4,015625E+2	-5,454482E-1	4,015625E+2	2,218003E-1	4,015625E+2	-5,375862E-1	4,015625E+2	2,244060E-1	4,015625E+2	-5,372843E-1	4,015625E+2	2,358138E-1	4,015625E+2	-5,345890E-1
4,031250E+2	2,336684E-1	4,031250E+2	-5,136342E-1	4,031250E+2	2,302821E-1	4,031250E+2	-5,107568E-1	4,031250E+2	2,222404E-1	4,031250E+2	-5,137311E-1	4,031250E+2	2,385936E-1	4,031250E+2	-5,105427E-1
4,046875E+2	2,459740E-1	4,046875E+2	-5,063704E-1	4,046875E+2	2,349966E-1	4,046875E+2	-4,901671E-1	4,046875E+2	2,308439E-1	4,046875E+2	-4,870392E-1	4,046875E+2	2,479733E-1	4,046875E+2	-4,939405E-1
4,062500E+2	2,426051E-1	4,062500E+2	-4,749860E-1	4,062500E+2	2,344394E-1	4,062500E+2	-4,632522E-1	4,062500E+2	2,347237E-1	4,062500E+2	-4,568738E-1	4,062500E+2	2,446313E-1	4,062500E+2	-4,624377E-1
4,078125E+2	2,406727E-1	4,078125E+2	-4,226124E-1	4,078125E+2	2,302661E-1	4,078125E+2	-4,177593E-1	4,078125E+2	2,339222E-1	4,078125E+2	-4,189026E-1	4,078125E+2	2,504413E-1	4,078125E+2	-4,212478E-1
4,093750E+2	2,378611E-1	4,093750E+2	-4,082376E-1	4,093750E+2	2,339985E-1	4,093750E+2	-4,058863E-1	4,093750E+2	2,318657E-1	4,093750E+2	-4,042454E-1	4,093750E+2	2,485893E-1	4,093750E+2	-4,043679E-1
4,109375E+2	2,409739E-1	4,109375E+2	-3,722648E-1	4,109375E+2	2,336357E-1	4,109375E+2	-3,739416E-1	4,109375E+2	2,365069E-1	4,109375E+2	-3,730952E-1	4,109375E+2	2,474734E-1	4,109375E+2	-3,725462E-1
4,125000E+2	2,508934E-1	4,125000E+2	-3,386129E-1	4,125000E+2	2,468994E-1	4,125000E+2	-3,418401E-1	4,125000E+2	2,444247E-1	4,125000E+2	-3,375209E-1	4,125000E+2	2,584031E-1	4,125000E+2	-3,438307E-1
4,140625E+2	2,494679E-1	4,140625E+2	-3,134121E-1	4,140625E+2	2,468083E-1	4,140625E+2	-3,141409E-1	4,140625E+2	2,528306E-1	4,140625E+2	-3,081426E-1	4,140625E+2	2,674775E-1	4,140625E+2	-3,141245E-1
