Sample 1_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 2_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 3_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 4_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	
5,281250E+2	6,183341E+1	5,281250E+2	7,090327E+1	5,281250E+2	8,156640E+1	5,281250E+2	9,273272E+1
5,296875E+2	6,159148E+1	5,296875E+2	7,145075E+1	5,296875E+2	8,207647E+1	5,296875E+2	9,221818E+1
5,312500E+2	6,079511E+1	5,312500E+2	7,123202E+1	5,312500E+2	8,162905E+1	5,312500E+2	9,159438E+1
5,328125E+2	6,273882E+1	5,328125E+2	7,218798E+1	5,328125E+2	8,136301E+1	5,328125E+2	9,242793E+1
5,343750E+2	6,254642E+1	5,343750E+2	7,229751E+1	5,343750E+2	8,199237E+1	5,343750E+2	9,255696E+1
5,359375E+2	6,214998E+1	5,359375E+2	7,080276E+1	5,359375E+2	8,258724E+1	5,359375E+2	9,220054E+1
5,375000E+2	6,611100E+1	5,375000E+2	7,122269E+1	5,375000E+2	8,130189E+1	5,375000E+2	9,180638E+1
5,390625E+2	7,696430E+1	5,390625E+2	7,678361E+1	5,390625E+2	8,283804E+1	5,390625E+2	9,258800E+1
5,406250E+2	7,706867E+1	5,406250E+2	7,758079E+1	5,406250E+2	8,340885E+1	5,406250E+2	9,211531E+1
5,421875E+2	6,610166E+1	5,421875E+2	7,172907E+1	5,421875E+2	8,263511E+1	5,421875E+2	9,277816E+1
5,437500E+2	6,103254E+1	5,437500E+2	7,229043E+1	5,437500E+2	8,214098E+1	5,437500E+2	9,290365E+1
5,453125E+2	6,117743E+1	5,453125E+2	7,233303E+1	5,453125E+2	8,215705E+1	5,453125E+2	9,299232E+1
5,468750E+2	6,256928E+1	5,468750E+2	7,149165E+1	5,468750E+2	8,281162E+1	5,468750E+2	9,314506E+1
5,484375E+2	6,219487E+1	5,484375E+2	7,165531E+1	5,484375E+2	8,329371E+1	5,484375E+2	9,247298E+1
5,500000E+2	6,288612E+1	5,500000E+2	7,245142E+1	5,500000E+2	8,301710E+1	5,500000E+2	9,180612E+1
5,515625E+2	6,243410E+1	5,515625E+2	7,200005E+1	5,515625E+2	8,249645E+1	5,515625E+2	9,248843E+1
